mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
26.3764 65.4159 0.535535 3.13134 59.196 124.455 0 0 47.1127 -1.54043 114.976 -2.97877 1 11 20.3211 -2.1969 92.5447 -2.44324 -1 13 3225.75
52.0742 49.7931 0.936008 3.13399 51.081 100.865 0 0 35.3148 0.457084 39.0687 -0.658326 -1 13 19.9333 2.03218 77.3585 -1.59433 1 11 9486.95
34.3885 41.8719 0.987981 2.83254 53.224 93.2909 0 0 29.5253 -0.766457 38.6308 1.44672 -1 13 17.5963 0.348335 18.6747 0.458742 1 11 2659.67
45.5686 57.3209 1.42073 2.10515 25.2731 66.1281 0 0 49.9316 1.78426 152.869 -1.8533 -1 13 21.6597 2.24806 103.695 3.00915 1 11 4400.84
35.1537 47.8856 0.118248 2.8873 38.6065 85.2988 0 0 25.5245 -0.246969 26.3071 -0.177316 -1 13 22.4446 -1.60428 58.0791 -0.295564 1 11 8197.8
12.3341 46.1819 0.519426 2.94319 87.6832 126.644 0 0 28.0775 -2.28341 139.153 -0.885369 -1 13 19.6545 -2.39221 108.385 -0.365943 1 11 8024.02
17.9634 44.7353 0.302904 2.95482 36.5 80.4646 0 0 30.1018 0.537535 34.5566 0.281157 -1 13 15.0934 1.30538 29.8862 0.584061 1 11 7279.06
19.4087 62.7993 0.566922 2.79761 30.9297 86.844 1 0 48.9002 -2.19422 222.116 0.707073 -1 13 15.7946 -1.77909 48.1203 0.140151 1 11 9390.53
11.4258 45.5634 0.0317943 3.03777 25.7062 68.3552 0 0 27.2868 -1.13821 46.955 1.1713 -1 13 18.2821 -0.633065 22.0696 1.20309 1 11 4399.28
28.188 43.2603 1.00564 3.12695 43.7044 86.9612 0 0 33.0112 1.29708 64.899 2.49577 -1 13 15.4005 0.520514 17.5343 -2.78178 1 11 9682.27
11.6688 66.4842 0.339473 2.50651 25.639 78.4451 1 0 41.5693 0.634561 50.2233 -2.22754 -1 13 25.8304 0.746986 33.3783 -2.56701 1 11 0
21.3891 43.0198 0.924872 2.4082 30.6976 67.8483 0 0 28.2643 -2.02462 108.892 2.19247 1 11 19.6103 -2.19536 89.1737 1.2676 -1 13 6406.35
29.9021 41.0669 1.3293 3.02202 41.9594 82.8731 0 0 33.2621 -2.13224 142.234 -0.239689 -1 13 17.4104 -1.98313 64.4455 1.08961 1 11 7111.08
45.4523 49.3633 1.17779 2.84082 52.1368 100.317 0 0 33.8825 -0.235637 34.8277 2.05364 -1 13 25.1959 -1.27692 48.6844 -3.05175 1 11 0
31.048 42.5399 0.956831 2.77959 53.0365 93.4464 0 0 29.2048 -0.40573 31.6419 -0.59737 -1 13 18.3858 -1.34428 37.6554 -1.5542 1 11 3696
53.1396 34.5702 1.76909 2.51989 21.3111 51.6839 0 0 32.0578 -0.831096 43.7816 -2.6574 -1 13 20.7126 0.444077 22.7887 1.85669 1 11 4627.15
35.1469 50.6839 1.20047 3.0138 46.2781 96.6642 0 0 36.401 -1.65805 99.003 -1.5701 1 11 24.474 -1.98886 91.0932 -2.77057 -1 13 9759.29
