mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
50.1385 51.8166 1.62925 2.05858 24.0644 60.52 1 0 49.8624 1.5931 127.704 1.33156 1 11 17.307 0.728068 22.1006 2.96081 -1 13 5564.62
37.529 57.4993 0.898709 1.92095 76.3298 108.577 1 0 42.8715 0.509245 48.5517 -0.70779 1 11 20.0053 1.41951 43.7809 -1.6065 -1 13 6577
38.1742 44.9732 1.35863 2.65664 43.3662 85.7409 0 0 36.6371 -0.406064 39.6993 -0.488097 1 11 19.4851 0.261511 20.1554 0.870537 -1 13 10215.5
20.6394 42.8791 0.948978 2.97042 48.1748 90.5671 0 0 32.305 0.828146 44.0306 -1.50041 1 11 15.0806 1.02619 23.7431 -2.44938 -1 13 5397.61
35.0571 43.4405 1.39186 3.14116 46.665 90.0478 0 0 33.9369 0.280564 35.2814 2.51052 1 11 21.7419 0.4273 23.7574 -2.38081 -1 13 6595.74
42.8322 44.8942 0.459534 2.90327 47.5865 91.786 0 0 30.0613 0.0909217 30.1857 -2.9513 1 11 15.9258 1.78483 48.7842 2.87235 -1 13 13782.1
49.2297 42.2753 1.06184 2.37215 50.7982 85.9076 0 0 29.9337 -2.01398 114.145 -2.98632 1 11 18.6395 -0.380261 20.0037 2.23503 -1 13 10127.6
45.0722 42.3085 1.61433 2.7077 60.9038 99.1435 0 0 30.63 2.04557 120.42 1.51194 1 11 30.5492 1.75679 91.1343 3.12627 -1 13 13067.1
33.9963 40.886 1.44306 2.7878 63.209 100.087 0 0 33.7056 -0.494962 37.9193 -0.448259 1 11 19.2442 -0.685822 23.9504 0.994805 -1 13 10281.9
34.1702 41.5374 1.53676 3.08781 43.9063 85.38 0 0 38.0295 0.0640884 38.1076 -1.61652 1 11 15.4626 0.295065 16.141 -0.079755 -1 13 11604
34.7854 40.0096 1.33482 2.61831 29.1164 65.9391 0 0 33.4791 -1.17324 59.2883 2.04066 1 11 15.4362 -0.301698 16.1444 0.705842 -1 13 11004
48.9354 48.791 1.57623 3.13705 55.3534 103.937 0 0 36.3088 -0.338856 38.4135 -0.240612 -1 13 32.7899 -0.361056 34.9505 1.33562 1 11 5571.25
27.4091 42.8444 0.549466 3.12371 47.5123 90.2325 0 0 28.7505 -2.13713 123.528 -0.958713 1 11 15.6089 -1.02139 24.4839 -1.50818 -1 13 14509.9
16.6138 46.3093 0.370034 2.98235 46.0152 92.0315 0 0 31.5601 0.950909 46.937 -1.26491 1 11 15.4568 0.306114 16.187 -0.894878 -1 13 5391.06
40.5564 44.7383 0.617841 1.6585 74.3735 85.0739 0 0 27.7194 1.92877 97.3833 2.7255 1 11 19.1625 0.42364 20.9082 2.10766 -1 13 14214.4
48.7041 43.8387 1.39278 2.08968 76.6128 100.242 1 0 38.0042 1.09942 63.3811 -0.754568 -1 13 16.1352 -0.279512 16.7696 0.638208 1 11 4143.87
36.1382 32.2154 1.73377 3.13546 32.4703 64.6849 0 0 30.8026 0.0556484 30.8503 0.376159 1 11 15.6753 0.662879 19.2475 -1.35761 -1 13 11539.5
13.3875 56.2963 0.333682 3.11451 56.4479 112.734 0 0 39.9625 0.0104353 39.9647 1.4801 1 11 16.9953 0.399786 18.372 1.14642 -1 13 4306.93
