mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
27.8519 57.6751 0.756209 2.57447 21.1587 67.0763 0 0 44.1597 -2.32377 227.687 1.09789 1 13 16.9504 -1.63651 45.1888 0.341683 -1 11 3924.88
32.0376 59.8127 0.995994 2.83775 24.9727 76.4062 1 0 39.9494 -2.20083 182.633 -0.940673 1 13 27.8119 -2.30626 140.957 -1.93667 -1 11 16294.1
12.4376 39.9033 0.539421 2.5781 33.8769 70.6343 0 0 25.6982 1.32243 51.6408 -1.63913 1 13 15.6077 1.63991 41.7407 -2.17855 -1 11 9582.88
10.8653 51.3878 0.302739 1.75694 34.5542 64.8736 1 0 27.99 -1.84398 90.6849 1.09493 1 13 23.9887 -2.13422 102.777 1.39767 -1 11 9738.54
22.0107 48.4185 0.752468 3.10097 47.8186 96.2154 0 0 32.4069 0.811439 43.6744 1.86633 1 13 19.3986 1.28717 37.8136 1.11387 -1 11 -9482.12
33.1791 41.5677 1.50425 2.63443 30.9315 69.4214 0 0 37.4737 -1.11041 63.0502 -2.42969 1 13 15.6688 -1.022 24.5892 -0.925442 -1 11 5833.06
12.5877 53.0842 0.00327849 2.92733 46.2067 98.4846 0 0 30.5655 1.92604 107.101 0.840873 1 13 22.5188 2.4013 125.296 0.844152 -1 11 8889.17
27.0721 42.9438 0.988919 1.90469 37.1428 65.0813 1 0 26.6472 -1.10744 44.7274 2.85986 -1 11 22.0779 -0.528288 25.2313 1.87094 1 13 0
16.6829 46.8204 0.701435 3.0256 31.4392 76.6042 0 0 30.295 -1.30433 59.9325 2.1494 1 13 19.4008 -1.34094 39.6187 2.85083 -1 11 13146.8
20.438 47.1673 0.862811 2.27548 74.2789 107.453 0 0 34.3519 0.159961 34.7925 -2.78457 1 13 16.9513 0.293704 17.6877 2.63581 -1 11 0
13.6366 69.0515 0.325985 3.02914 36.4747 100.213 0 0 51.77 -1.31781 103.617 0.526371 1 13 17.988 -1.62377 47.3923 0.200386 -1 11 9647.1
17.9742 45.946 0.595513 3.0027 38.9702 84.4252 0 0 29.6403 2.28715 147.436 -2.2459 1 13 18.2943 1.79077 56.3543 -2.84142 -1 11 5148.18
36.697 42.4992 1.08837 3.04048 31.1369 72.6613 0 0 26.3795 1.10415 44.1613 1.65011 1 13 23.2594 2.1195 98.2372 0.561738 -1 11 4378.98
33.3815 46.5927 1.25214 3.12979 49.0904 95.6488 0 0 31.8812 -2.46649 189.15 2.69081 1 13 25.427 -2.4323 145.86 -2.34024 -1 11 0
37.6072 65.916 1.02756 2.24722 103.95 149.274 1 0 48.2762 1.71594 138.593 -2.1622 -1 11 26.3978 2.09264 108.622 3.09342 1 13 11984.2
10.5494 59.2293 0.105864 3.06765 36.9191 93.4602 0 0 37.5616 -0.91266 54.3216 1.7601 1 13 21.7449 -0.56087 25.2557 1.65424 -1 11 21597.1
51.7734 39.8142 1.46339 1.9896 30.3885 58.3424 0 0 32.9902 -0.279612 34.2885 1.17895 1 13 19.0316 1.16689 33.5273 2.64234 -1 11 3819.84
15.0313 67.7196 0.427158 2.98367 68.2701 135.565 0 0 39.1785 1.73506 114.512 -0.304293 1 13 30.0875 1.6258 79.4196 0.122864 -1 11 9427.3
20.435 50.1316 0.352102 2.90878 31.0514 78.3749 0 0 26.2372 0.225319 26.9063 0.766695 1 13 24.6807 0.933044 36.2262 1.1188 -1 11 15216.5
11.757 45.0273 0.526623 2.21773 21.4588 55.6528 0 0 30.3285 -1.36159 63.0629 0.138625 1 13 16.1492 -1.25577 30.6463 -0.387997 -1 11 6318.65
50.5801 56.0215 0.291079 2.9985 39.1337 93.4051 1 0 41.151 1.35429 85.021 0.504799 1 13 15.3426 -0.402774 16.604 0.21372 -1 11 16862.2
32.5654 40.221 1.23706 2.28164 21.9232 53.9835 0 0 30.0413 0.580969 35.2556 0.737604 1 13 18.6565 1.30485 36.9245 -0.49946 -1 11 7771.26
47.6379 42.3483 0.795911 3.13982 45.9549 88.2295 0 0 28.6554 -0.557135 33.2192 0.818098 1 13 17.0216 -2.329 88.2146 1.61401 -1 11 1991.92
17.0946 43.6386 0.703283 2.95141 37.5459 80.5898 0 0 31.0596 1.75143 92.1909 1.31051 1 13 15.0508 2.13702 64.6594 0.607225 -1 11 13.0003
15.7736 45.0056 0.678384 2.80589 44.2102 87.9585 0 0 27.8919 0.910556 40.2761 -1.49865 1 13 19.7463 0.816297 26.6987 -0.820261 -1 11 11951.4
16.335 82.7246 0.364562 2.953 57.0156 136.745 0 0 63.5056 1.86669 210.251 1.28173 1 13 20.2336 1.59149 51.7444 0.917172 -1 11 4279.53
33.3415 47.6327 0.244134 3.11134 51.0314 98.5943 0 0 29.9131 2.18596 134.782 -1.25357 -1 11 18.0546 0.869318 25.3175 -1.49771 1 13 24.756
