mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
28.783 82.3829 0.439229 2.5969 84.4145 160.638 0 0 49.7752 -1.40237 107.286 1.94234 -1 13 34.5669 -1.93606 122.291 2.38157 1 11 1
36.4268 77.3921 1.04099 2.79779 65.2998 140.083 0 0 66.8448 1.62154 175.751 2.29997 -1 13 17.8182 1.27011 34.2291 1.25897 1 11 1
35.3973 63.9137 1.0993 3.13965 68.3039 132.145 0 0 55.1492 -1.08847 91.1743 -2.42648 1 13 15.8283 -1.66672 43.3983 2.7574 -1 11 1
37.4021 56.794 0.0953614 3.04518 65.8055 122.126 0 0 38.487 0.483179 43.0677 -0.493536 1 11 18.3635 1.7915 56.607 -0.398175 -1 13 1
48.7219 54.5141 0.00822067 3.11853 57.8381 112.295 0 0 37.4527 1.3401 76.4268 0.300405 1 11 17.0617 -0.370811 18.2485 0.308625 -1 13 1
48.1465 40.9566 1.47049 1.62177 116.192 100.013 1 0 31.027 2.25444 149.47 1.72009 1 11 23.8081 1.15397 41.4992 0.249602 -1 13 1
34.3313 53.3724 1.07182 2.86822 66.4773 118.02 0 0 35.9227 1.88802 121.376 -1.94294 -1 11 25.8643 1.41742 56.4982 -0.871122 1 13 1
54.3861 67.1666 1.07916 2.88309 65.4692 131.519 0 0 40.4684 1.26911 77.6743 -1.45834 1 11 37.8051 2.17459 168.464 -2.5375 -1 13 1
48.2903 45.7529 1.25523 2.88473 55.1521 99.6388 0 0 38.7507 0.5991 45.9154 -0.787396 -1 11 15.1094 2.07499 61.1179 0.467838 1 13 1
51.3289 53.4387 1.04524 3.03182 60.4468 113.498 0 0 42.6825 -0.924161 62.2443 1.16227 -1 13 17.2185 0.548056 19.8697 2.20751 1 11 1
15.4375 56.8896 0.42321 2.07158 111.486 137.021 1 0 37.8631 1.11552 63.9681 0.932814 1 13 20.2005 0.749983 26.153 0.509604 -1 11 1
17.1916 71.8178 0.238757 3.04626 58.9904 130.03 0 0 44.1333 1.76931 133.222 0.594115 1 11 28.174 1.34709 57.8444 0.355357 -1 13 1
27.5463 60.7727 0.361241 2.72942 23.6314 74.1891 1 0 31.9859 -1.35071 65.8785 -0.58792 -1 11 29.7904 -2.14639 129.154 -0.949162 1 13 1
42.6518 37.6173 1.57866 2.37128 50.9408 81.1363 0 0 32.4752 1.06493 52.6975 -1.82507 1 13 19.242 0.150812 19.4612 -0.246407 -1 11 1
47.3461 50.8622 0.0497859 2.303 111.397 137.504 0 0 35.694 -1.26134 68.0583 0.552258 -1 11 15.1815 0.524831 17.3211 0.602044 1 13 1
38.6572 52.1661 1.46814 3.13742 40.898 92.3792 0 0 47.6007 0.812268 64.1863 -1.68967 1 11 17.0142 1.03558 26.9827 -0.221533 -1 13 1
39.2901 108.423 1.04097 2.68668 47.5608 139.921 1 0 99.9176 0.435766 109.555 -1.54764 -1 13 15.244 0.591355 17.988 -2.58861 1 11 1
10.612 54.9757 0.0961289 2.93992 60.2003 114.473 0 0 32.4443 0.882896 45.9327 -1.61685 -1 11 22.5929 0.505202 25.5381 -1.71298 1 13 1
46.304 80.8108 0.878534 3.09259 84.373 165.096 0 0 57.9692 1.25195 109.651 -1.04256 1 11 30.3715 0.562593 35.3062 -0.164031 -1 13 1
32.0687 71.387 0.408329 2.97566 69.6035 140.494 0 0 38.3861 -1.6405 102.714 0.0626981 1 13 34.5107 -2.40403 192.536 0.471027 -1 11 1
26.2845 93.5206 0.0629115 3.06199 93.1723 186.545 0 0 73.0089 0.415463 79.4012 2.26139 1 13 20.5434 -0.248066 21.1788 2.3243 -1 11 1
41.1332 86.3458 0.26647 2.69165 35.2951 107.627 1 0 43.7788 -1.26742 83.9072 0.895642 1 13 43.339 -2.14514 187.664 1.16211 -1 11 1
13.2122 46.1133 0.14065 3.12816 33.1188 78.1575 0 0 30.6079 0.241789 31.5072 -3.02799 -1 13 15.6076 0.821533 21.1775 -2.88734 1 11 1
18.6412 88.5164 0.402191 2.79335 74.9553 160.445 0 0 66.4451 2.21464 307.882 -2.44862 1 11 23.4659 1.96382 85.2614 -2.85081 -1 13 1
51.1233 80.0759 0.440549 3.13298 67.4709 147.006 0 0 60.9444 -0.276807 63.2942 -2.57471 -1 11 20.6158 1.00756 31.9961 -3.01526 1 13 1
40.3181 40.1678 1.39879 2.45793 29.6927 65.0744 0 0 32.6593 1.30499 64.6464 -1.78471 1 11 18.4531 2.2849 91.5872 -0.385917 -1 13 1
46.217 46.8966 1.52185 2.30448 81.151 112.73 1 0 33.5652 -1.87817 112.35 -2.21095 1 11 31.1505 -1.5052 73.6246 2.55038 -1 13 1
19.8469 73.0833 0.177363 3.06588 68.0419 140.934 0 0 41.7898 1.46912 95.6052 1.86476 1 13 31.5763 1.98036 116.57 2.04212 -1 11 1
27.0203 71.8799 0.700996 3.04154 77.0024 148.608 0 0 38.4513 0.9598 57.5645 1.90986 1 13 38.0815 1.1239 64.7733 1.20886 -1 11 1
32.5408 42.3367 0.62477 2.61542 21.1658 57.8095 0 0 26.6821 1.53422 64.7487 2.65513 1 13 17.7133 0.257863 18.3055 -3.00328 -1 11 1
51.0433 55.9925 0.687652 3.02597 52.9742 108.743 0 0 38.9936 -0.184075 39.6561 2.50988 1 11 20.0935 -1.72222 58.0264 -3.08565 -1 13 1
52.0753 84.9065 0.265704 2.52827 76.2645 153.431 0 0 60.0852 -0.0991353 60.3807 -3.11524 1 11 25.451 1.12754 43.4179 2.90224 -1 13 1
25.3783 71.808 0.608655 3.09395 75.2816 147.007 0 0 42.2194 0.255836 43.6086 0.645733 -1 11 32.9914 0.57574 38.6122 1.25439 1 13 1
48.7415 53.3431 0.572953 2.67906 109.274 148.631 1 0 31.8137 1.58718 81.0366 1.14529 1 11 23.745 0.0592819 23.7869 0.57234 -1 13 1
22.6066 201.9 0.13123 3.10604 112.881 301.884 1 0 185.662 1.15521 323.95 1.44844 1 13 16.3678 1.54135 39.9783 1.57967 -1 11 1
18.0101 57.6023 0.245507 2.76376 87.7495 139.661 0 0 37.7286 1.23908 70.5921 1.08274 -1 13 20.2704 0.644443 24.6273 0.837238 1 11 1
43.6246 34.1467 1.44961 2.94844 59.351 89.617 1 0 25.6223 0.3129 26.887 1.76581 -1 13 19.6861 1.6341 52.3644 -3.06777 1 11 1
33.7273 85.2429 0.775043 2.99953 90.6641 175.38 0 0 62.1785 -0.580195 72.9409 1.96413 -1 13 28.883 -0.331488 30.4845 1.18909 1 11 1
49.9861 40.3819 1.4278 1.66845 21.2503 43.4004 1 0 31.7122 0.578645 37.1711 2.81517 1 11 20.8865 -0.754691 27.1225 -2.04022 -1 13 1
30.7282 39.4314 1.32683 3.13735 48.6647 87.6107 0 0 26.6893 -2.27685 131.425 2.50097 1 11 23.2866 -2.32504 120.215 1.17414 -1 13 1
40.692 48.1541 1.40467 3.08047 43.982 91.9986 0 0 32.8737 -0.688858 40.9869 0.573185 1 13 30.1684 -0.707201 38.0322 -0.83148 -1 11 1
