mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
39.4405 60.1479 0.449853 3.13042 55.0123 115.044 0 0 35.5048 -1.30006 69.981 -1.22317 -1 13 26.1602 -2.45039 152.764 -1.67302 1 11 1
22.8248 54.2666 0.581566 3.04929 53.8273 107.978 0 0 36.5103 -0.328092 38.4932 -1.99352 1 13 19.9161 -0.941062 29.4052 -2.57509 -1 11 1
27.6246 49.2608 0.407583 2.21645 94.0528 121.827 0 0 25.704 -1.66618 70.4405 -0.171296 -1 13 24.5971 -0.684709 30.5918 0.236286 1 11 1
53.8929 52.5533 0.127878 3.05876 58.9633 111.237 0 0 32.8704 -0.801745 44.0132 -0.453395 -1 13 19.7838 1.03737 31.4185 -0.325517 1 11 1
29.1465 54.1542 0.870485 2.51547 62.0992 110.344 0 0 35.7163 0.507493 40.4153 2.91049 -1 13 23.746 1.04019 37.7934 2.04001 1 11 1
24.1581 48.3062 0.392178 3.11738 44.4248 92.643 0 0 32.5571 -1.25887 61.9467 1.48686 1 13 16.5908 -2.18864 74.9502 1.09468 -1 11 1
51.9869 74.6785 1.00867 2.71155 55.5 125.793 0 0 56.9711 1.88982 192.827 0.168518 -1 13 26.6718 1.00042 41.1699 -0.840147 1 11 1
36.1138 58.5358 0.626326 2.64764 75.4405 128.873 0 0 42.7485 -0.167415 43.3489 -2.05848 1 11 18.2669 0.914973 26.462 -1.43216 -1 13 1
35.8285 47.1728 0.125124 2.87783 55.6691 101.6 0 0 31.1438 -0.180194 31.6508 0.242977 -1 11 16.1121 -1.64126 43.1434 0.117853 1 13 1
54.8881 57.7723 1.26826 2.55932 70.5624 122.322 0 0 37.03 -1.75635 110.422 1.79649 1 11 34.6634 -0.819886 46.9815 3.06474 -1 13 1
46.2832 49.4395 0.741206 2.51308 38.7142 83.2137 0 0 27.464 -1.16771 48.415 -0.0896651 -1 11 25.5714 0.289156 26.6481 0.651541 1 13 1
40.9013 39.7772 1.32533 2.93501 35.7759 75.0449 0 0 31.8602 0.881676 45.0667 -1.71977 -1 11 17.2996 2.04784 68.1615 -0.394447 1 13 1
22.2021 50.735 0.74026 2.37303 80.5215 118.509 1 0 28.8328 -0.0965534 28.9675 2.85748 -1 13 25.5728 0.282084 26.597 2.11722 1 11 1
27.9745 50.6481 0.877258 2.99212 54.496 104.78 0 0 32.0788 -1.30986 63.7648 2.72716 -1 13 23.728 -1.85675 77.8164 1.84991 1 11 1
42.0949 40.036 1.59708 2.88064 77.5608 110.502 0 0 30.5063 -1.39973 65.6002 -0.607165 -1 13 26.7417 -1.05571 43.0802 -2.20424 1 11 1
46.9944 65.2332 1.19845 2.8366 64.8836 128.606 0 0 51.2124 0.698891 64.2372 -2.88834 1 11 25.8634 0.0803451 25.9471 -1.68989 -1 13 1
35.4105 81.6703 0.771857 2.73298 52.0296 127.661 1 0 58.6216 0.450844 64.6809 1.94921 1 11 28.6896 0.0311212 28.7037 1.17735 -1 13 1
34.337 48.1955 0.889101 1.73203 45.3193 71.2014 1 0 35.682 -1.4604 80.9948 1.60258 -1 13 16.9513 -0.409645 18.3936 2.49168 1 11 1
35.6261 32.4762 1.77958 3.10437 30.2872 62.7143 0 0 31.7124 -2.15602 138.781 2.06532 -1 11 16.1766 -2.39939 89.8387 -2.43829 1 13 1
19.4006 79.5463 0.0833893 1.93198 53.8442 107.673 1 0 63.522 -1.10769 106.643 -3.01252 -1 13 16.0689 -0.514924 18.2467 -3.09591 1 11 1
13.6972 73.4549 0.355102 2.48897 36.6353 98.2758 1 0 42.2597 -2.15099 184.035 -2.61988 -1 13 32.3472 -2.03943 126.418 -2.97498 1 11 1
36.1617 76.8697 1.03198 2.65139 85.628 157.412 1 0 65.5434 -0.944904 97.0462 2.39899 -1 11 18.7525 -1.244 35.2333 -2.85222 1 13 1
26.0725 40.6519 1.11208 3.03559 44.5923 85.0335 0 0 30.1805 -0.037592 30.202 1.35935 1 13 16.9727 0.419524 18.4883 2.47143 -1 11 1
27.1482 42.9004 0.771878 2.73371 21.5128 59.4996 0 0 28.9513 -1.96554 105.366 0.579355 1 11 17.1043 -1.0391 27.1999 -0.192524 -1 13 1
19.1542 65.3647 0.124336 1.99965 20.5081 61.6105 1 0 39.2985 -0.965831 59.0978 1.43676 -1 11 26.1876 -0.389855 28.2032 1.5611 1 13 1
46.0551 67.626 1.26008 3.08769 71.5653 139.085 0 0 55.6116 -1.2378 103.939 1.39797 -1 11 25.0655 -0.874981 35.2886 0.137883 1 13 1
38.3236 76.0939 0.957865 3.0898 72.0011 147.989 0 0 51.9084 -1.58779 132.296 -2.17794 -1 13 33.2854 -1.61163 86.7176 -3.1358 1 11 1
51.1732 83.0032 0.844414 2.68876 51.8884 127.904 1 0 61.1613 0.192701 62.3004 0.695606 -1 13 28.6529 -0.685773 35.6586 1.54002 1 11 1
20.013 89.7967 0.466172 3.06922 45.7806 128.149 0 0 66.73 1.25989 127.078 1.46779 -1 11 25.03 1.09772 41.6868 1.93397 1 13 1
26.7138 55.2019 0.917442 1.74524 83.0714 103.746 1 0 36.7486 0.267615 38.0726 -2.78156 -1 13 24.5212 0.354865 26.0814 2.58418 1 11 1
21.0523 64.3401 0.346005 2.57472 38.2294 95.2327 1 0 38.4685 0.314618 40.3882 2.11524 1 11 26.8148 -0.236154 27.5662 1.76924 -1 13 1
10.202 38.8153 0.248583 2.33409 48.1021 79.4711 1 0 23.5394 -0.687005 29.3165 1.31672 1 13 15.565 -1.15447 27.142 1.56531 -1 11 1
44.5672 70.8772 0.295911 2.98214 99.3143 167.266 0 0 39.5095 -1.59447 101.317 -0.901919 1 13 32.1423 -0.443666 35.358 -1.19783 -1 11 1
51.763 86.5166 1.18167 2.85468 60.9912 143.79 0 0 75.7675 1.29131 148.218 0.952825 -1 13 21.9573 0.692584 27.4373 -0.228849 1 11 1
30.8514 56.1421 0.467746 3.05691 59.2752 115.271 0 0 32.3202 0.355053 34.3788 -2.63293 1 11 25.3694 -0.582806 29.8014 -2.16518 -1 13 1
40.1356 42.3272 1.49462 3.0232 58.0422 98.9579 0 0 37.0329 1.13971 63.8037 1.72812 -1 11 17.8721 1.88769 60.3678 -3.06045 1 13 1
44.2288 45.2007 0.765729 3.03623 39.1428 84.0089 0 0 30.2319 0.592879 35.7027 0.320138 -1 11 18.2576 2.15657 79.9427 -0.445591 1 13 1
31.4957 44.9073 1.13866 1.94006 80.6717 99.3007 0 0 32.2709 1.93534 114.09 2.6293 -1 13 20.5129 1.36341 42.7211 -2.51522 1 11 1
29.1293 56.3411 0.770061 2.37067 76.5818 121.733 1 0 41.6509 0.744623 53.7414 -2.0688 -1 11 18.4067 0.0238145 18.4122 -1.29874 1 13 1
29.7209 64.2392 0.947986 2.62735 80.3991 139.008 1 0 49.5236 -2.28856 246.68 2.9844 -1 13 21.1978 -2.37828 115.307 2.03642 1 11 1
27.6894 37.4573 1.02002 2.59759 24.9709 58.918 0 0 26.9461 -1.36696 56.2945 0.37204 1 13 15.4923 -0.458686 17.1508 -0.647983 -1 11 1
40.6757 83.6636 0.580338 2.71005 63.3872 142.269 1 0 64.9031 0.241065 66.798 -0.165498 1 11 21.4408 1.13878 36.9122 0.414841 -1 13 1
