mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
12.192 97.1571 0.213236 3.12361 98.9824 196.123 0 0 76.3024 2.14358 329.901 -0.432481 -1 11 21.2316 2.35865 113.284 -0.645717 1 13 1
51.0158 48.4459 1.62622 2.42046 24.3001 64.2092 0 0 37.8831 -0.354222 40.2849 0.0744442 1 13 32.3686 -0.246323 33.3556 1.70066 -1 11 1
19.9938 84.2605 0.420896 2.95537 30.3599 100.718 0 0 43.6104 -0.431654 47.7369 2.6271 1 13 42.5507 -0.633447 51.3769 3.048 -1 11 1
39.6695 70.8086 0.691723 2.6802 55.7685 122.351 0 0 43.0034 -0.0463535 43.0497 -2.10652 -1 13 32.1606 0.755482 41.7834 -2.79825 1 11 1
25.9173 45.9914 1.04418 3.03366 37.2905 82.7056 0 0 32.2506 -2.25784 155.883 -1.71215 1 11 20.3672 -2.09132 83.7001 -0.667969 -1 13 1
41.5517 37.4473 1.65511 2.05544 62.1721 82.6179 0 0 29.7424 -2.11574 125.16 -2.92401 1 11 25.3949 -1.77471 77.0491 -1.26891 -1 13 1
18.4899 54.6277 0.650518 3.07873 61.932 116.273 0 0 30.9739 0.241673 31.8828 1.15623 -1 11 26.6581 0.16717 27.0317 1.80675 1 13 1
27.1593 71.6962 0.427509 3.11222 66.2528 137.827 0 0 48.2973 1.23003 89.6787 2.46728 -1 13 24.8925 0.582945 29.2431 2.89479 1 11 1
43.7036 53.5115 0.688976 2.97488 52.434 105.572 0 0 36.3296 -1.87745 121.519 2.52436 -1 11 20.2277 -0.520213 23.0273 -3.06985 1 13 1
46.0785 46.6969 1.2839 2.90942 50.8158 96.77 0 0 39.6049 1.04546 63.2932 2.39091 1 13 15.9525 -0.250039 16.4537 1.10701 -1 11 1
33.7143 74.3778 0.809493 3.11781 75.0001 149.366 0 0 47.6892 -1.28144 92.5042 2.12624 1 13 32.9807 -1.60009 85.0137 2.93573 -1 11 1
20.5252 77.7126 0.463308 3.11511 82.1863 159.822 0 0 41.2467 -1.85837 135.479 -1.37164 -1 11 38.5963 -1.627 101.993 -0.908336 1 13 1
53.3561 63.1438 0.19572 3.13837 61.5895 124.723 0 0 33.0956 0.790358 43.982 1.48559 -1 13 30.3512 2.3115 154.619 1.68131 1 11 1
32.7718 55.0219 0.358131 2.58526 68.5561 118.113 1 0 31.6997 -0.146821 32.0421 -0.884159 1 13 24.1998 0.928875 35.4123 -1.24229 -1 11 1
28.4757 49.4627 1.1161 3.10561 48.2415 97.6807 0 0 38.1128 0.451105 42.0569 -0.282275 1 11 18.9567 0.425868 20.7022 -1.39838 -1 13 1
42.8775 80.5421 1.06891 1.66545 56.5208 99.8254 1 0 63.2597 1.94585 225.915 2.29577 1 13 27.9742 1.91333 96.8358 1.22687 -1 11 1
51.0211 122.799 0.5283 2.12069 79.3906 172.302 1 0 86.0322 -3.48528e-05 86.0322 2.85158 -1 11 40.5837 0.674759 50.1786 -2.90331 1 13 1
19.9041 66.7748 0.239788 2.88719 41.2393 104.104 0 0 37.1639 1.79352 114.779 -2.5738 1 13 30.0883 2.332 156.394 -2.33402 -1 11 1
31.5985 57.8719 1.01294 2.99356 42.7609 99.2193 0 0 39.7817 0.809889 53.5574 2.83903 1 11 25.9521 0.649383 31.6193 -2.43121 -1 13 1
23.9295 36.6821 1.18496 2.87318 32.7297 68.676 0 0 27.2842 2.27109 133.599 -1.52254 -1 13 16.3136 2.07366 65.904 -0.337576 1 11 1
47.2799 150.862 0.576104 2.6205 27.5588 124.606 1 0 86.1613 -0.490947 96.7552 -2.86365 1 11 71.1205 -0.286434 74.058 2.84343 -1 13 1
30.5746 47.4701 1.01171 3.01359 93.46 132.942 0 0 32.9886 -0.412341 35.833 2.99831 1 11 20.8604 -1.049 33.4297 -2.27316 -1 13 1
50.4304 52.5865 1.49055 3.10386 52.663 105.231 0 0 40.999 1.47032 93.8971 2.86449 1 13 29.8078 0.983857 45.4364 1.37394 -1 11 1
50.7574 62.8894 1.3417 2.47805 36.8778 91.0642 0 0 42.9085 0.389591 46.2063 2.04971 -1 11 37.2543 0.645536 45.29 0.708009 1 13 1
38.4794 78.5272 0.502602 3.13446 83.298 161.754 0 0 56.8587 1.15811 99.4453 2.15176 -1 11 23.7687 0.266901 24.6206 1.64916 1 13 1
48.6763 47.9406 0.926343 2.58928 53.8451 97.7642 0 0 36.0342 0.544867 41.5168 1.71113 1 13 16.6727 -1.0531 26.8046 2.63748 -1 11 1
31.1016 59.1685 0.475141 3.10609 60.0613 119.208 0 0 44.1518 0.824126 60.0135 1.70715 1 11 16.3534 -0.189341 16.6477 1.23201 -1 13 1
45.9864 217.028 0.413956 2.45207 71.1978 233.983 1 0 113.818 1.94788 407.266 -2.50111 -1 13 107.94 1.89128 365.848 -2.08715 1 11 1
42.6698 48.6209 1.07591 2.49074 78.9127 117.382 0 0 31.7423 -2.09907 131.432 0.869158 1 13 24.7201 -1.0245 38.8684 -0.206749 -1 11 1
18.3679 56.416 0.594184 2.9933 54.0774 110.165 0 0 34.1596 2.02512 131.667 1.80935 -1 11 24.7711 1.78925 76.1965 2.40354 1 13 1
19.5501 49.208 0.301683 3.06953 68.0654 115.672 0 0 27.9761 1.53803 68.1248 2.5836 -1 13 21.7882 2.25514 105.035 2.28192 1 11 1
49.2246 52.159 1.40487 3.13528 26.5263 74.3928 0 0 38.946 0.486247 43.6416 1.62176 1 11 28.8541 -0.197854 29.4209 3.02663 -1 13 1
52.7229 68.509 1.09515 3.13753 97.066 163.093 1 0 43.4301 0.212455 44.4139 0.469417 1 11 36.7061 -0.578839 43.0292 -0.62573 -1 13 1
45.6112 110.891 0.884364 1.95271 44.8069 116.794 1 0 87.4564 1.04178 139.366 -2.63385 -1 11 32.4376 1.01205 50.5171 -1.74949 1 13 1
36.0585 47.623 1.48501 3.09217 46.9905 94.5825 1 0 43.3217 -0.301801 45.3098 -2.41856 -1 13 16.4117 -0.311604 17.2149 -0.93355 1 11 1
44.0291 46.1358 1.49064 2.46467 44.7965 85.7642 0 0 32.279 -0.000447555 32.279 -1.87828 -1 11 30.4798 0.35886 32.4637 2.91427 1 13 1
28.9709 48.8751 1.06947 2.97571 50.2114 98.7368 0 0 31.7084 1.01394 49.4528 1.66244 1 11 24.9554 0.86633 34.921 2.73191 -1 13 1
35.1251 73.5752 0.388109 2.92494 72.4797 145.195 0 0 52.9936 -1.27861 102.544 2.39608 -1 11 21.7369 -2.20543 99.8203 2.78419 1 13 1
44.4608 70.5827 1.06501 2.65506 61.1674 127.544 1 0 49.7106 1.83689 159.977 -1.40274 -1 11 31.5108 1.36086 65.4791 -0.337725 1 13 1
48.5831 58.1427 1.31961 3.11946 59.0526 117.185 0 0 48.0202 -1.1336 82.3232 0.77631 -1 13 22.9513 -1.9129 79.4158 2.09592 1 11 1
41.5169 57.6573 1.23295 2.95907 94.7521 147.211 0 0 41.9006 1.2238 77.3948 -0.615866 -1 11 28.0829 1.57932 71.0185 0.61708 1 13 1
31.4592 94.6811 0.785013 3.05933 98.8482 193.321 0 0 83.0322 -2.1414 358.237 -1.37277 -1 11 15.5615 -1.71955 44.8263 -0.587755 1 13 1
52.2317 64.6913 1.18898 2.19493 36.5491 86.558 1 0 41.6956 -0.985885 63.6545 -0.246899 1 13 36.3081 -0.262014 37.5615 -1.43588 -1 11 1
30.3859 43.9931 1.05612 2.88834 81.1873 118.57 0 0 28.968 0.996669 44.5869 -2.96841 -1 13 21.7901 0.339794 23.0602 2.25866 1 11 1
38.1418 66.1957 0.961111 2.9811 65.4566 131.227 0 0 39.5357 0.178752 40.1691 0.632712 -1 11 35.0789 -0.258415 36.2568 1.59382 1 13 1
45.4219 54.1199 1.32508 2.86544 47.3513 100.282 0 0 47.7458 -2.13827 205.369 -1.81409 1 13 16.389 -1.12272 27.8499 -0.489009 -1 11 1
42.6213 47.5265 1.63476 3.03551 52.7591 100.008 0 0 45.2292 -0.212512 46.2545 3.04084 1 13 17.7722 -0.573937 20.7806 -1.60759 -1 11 1
20.7525 49.8345 0.796073 2.58755 63.8898 108.55 0 0 30.6411 2.02341 117.912 -0.13296 1 13 23.3323 1.98594 86.5991 -0.929033 -1 11 1
23.4985 51.4661 0.403814 2.55091 43.1512 90.1705 0 0 36.2545 1.64828 97.7132 0.192225 1 13 16.1169 0.789411 21.4049 -0.211589 -1 11 1
27.0581 48.9605 1.03042 1.78853 59.6223 84.2581 0 0 33.4409 -0.951307 49.7489 -0.865453 1 13 22.4799 -0.898276 32.1759 -1.89587 -1 11 1
25.7806 55.4948 0.835382 2.90568 76.6583 129.541 0 0 36.2178 1.16431 63.6686 -0.179149 -1 13 24.2645 0.852419 33.6269 -1.01453 1 11 1
33.0365 68.9796 0.580767 3.02523 65.0654 133.761 0 0 37.6987 -1.9005 128.906 2.79366 -1 11 34.2877 -1.19651 61.9031 2.21289 1 13 1
41.2316 48.1429 1.54337 3.09957 47.5985 95.7187 0 0 43.8414 0.572279 51.2185 -3.09394 -1 11 18.7254 0.219646 19.1792 1.64587 1 13 1
39.6713 75.4925 0.910635 2.52091 38.8894 103.19 1 0 54.6111 0.364863 58.2867 0.479696 1 11 28.4642 0.848917 39.3518 1.39033 -1 13 1
46.3709 69.7766 0.200817 2.84226 78.8277 146.67 1 0 40.6067 1.91009 140.13 -2.22999 -1 13 29.5143 0.667268 36.3323 -2.02917 1 11 1
35.4212 48.3819 0.937128 3.09605 50.9392 99.2625 0 0 32.6866 0.640817 39.6307 -2.24033 -1 11 21.229 1.59979 54.7066 3.10572 1 13 1
22.34 128.142 0.321079 2.3758 103.967 214.13 1 0 80.9292 -1.04372 129.159 -0.655117 1 11 48.7776 -0.888277 69.3205 -0.334038 -1 13 1
33.9626 45.3242 1.43001 3.01309 99.7006 134.167 0 0 40.0367 -1.9259 140.269 -2.07145 -1 13 16.3572 -2.13031 69.8145 2.78173 1 11 1
23.7244 56.9797 0.793374 3.02187 40.1926 95.5398 0 0 38.3137 1.22127 70.6188 -2.10872 -1 11 23.1351 1.02706 36.4483 -2.90209 1 13 1
53.6948 54.6477 1.56671 3.08537 69.846 123.514 0 0 46.2226 -1.83259 148.145 -0.717739 -1 11 28.9639 -2.23205 136.51 0.848973 1 13 1
12.2159 70.1327 0.34844 1.7575 30.8308 71.6046 1 0 40.839 -0.545496 47.0673 -2.83024 1 11 30.3477 -0.559588 35.2247 3.1045 -1 13 1
40.1211 72.778 1.01985 3.07129 70.5357 143.208 0 0 48.1138 1.6267 127.107 -0.407062 1 13 34.9466 1.56089 86.895 0.612785 -1 11 1
46.9115 56.9421 1.28854 2.93865 28.5939 80.2867 0 0 41.9772 1.34854 86.293 -0.0552268 1 11 28.5203 1.96729 103.973 1.23331 -1 13 1
18.6385 71.9174 0.535174 3.09522 73.134 145.007 0 0 49.4626 0.666234 60.8521 -0.13706 1 11 24.8016 0.725517 31.6206 -0.672233 -1 13 1
38.068 67.6916 0.96992 3.06921 64.4233 131.988 0 0 51.4088 -0.485774 57.5947 -1.59471 -1 13 23.6993 -1.04432 37.8407 -2.56463 1 11 1
49.2301 56.7287 1.12623 3.10885 54.4782 111.169 0 0 34.501 0.568358 40.2251 1.92184 1 11 32.5752 -0.401445 35.2357 0.795615 -1 13 1
39.4708 71.74 0.126507 3.13512 69.5507 141.273 0 0 42.6525 -1.1395 73.4727 -2.03205 1 11 29.2263 -2.19988 133.487 -2.15855 -1 13 1
54.1656 48.0815 0.990532 2.73707 47.6161 93.7457 0 0 28.7025 0.874872 40.4058 0.654589 1 13 25.9247 2.4502 151.362 -0.335943 -1 11 1
12.0483 53.5849 0.465215 3.02562 47.6681 100.91 0 0 35.902 -0.837494 49.2463 2.98544 -1 13 19.0205 -0.836871 26.079 2.52022 1 11 1
32.465 59.9123 0.81137 2.78536 86.8801 142.011 0 0 37.6321 2.17501 167.762 0.349649 1 13 27.4252 1.55398 67.7634 1.16102 -1 11 1
