mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
45.725 50.1194 1.24312 1.59724 45.3509 68.3088 1 0 30.9923 1.37701 65.3219 1.51907 1 13 30.6569 2.2662 149.397 0.275947 -1 11 0.858597
17.6048 46.7506 0.314694 3.13753 27.6746 71.9388 0 0 30.3969 -0.465165 33.7452 -0.994045 1 11 16.8899 0.231569 17.3451 -0.67935 -1 13 1.20542
25.4333 49.972 0.912391 1.99479 40.6738 75.7464 1 0 35.7946 -1.95501 128.96 -1.63192 1 11 19.2766 -2.3538 102.363 -2.54431 -1 13 0.200539
39.0221 49.0775 1.35996 3.02055 24.6268 69.4031 1 0 42.6754 -1.11906 72.3044 2.88769 -1 11 16.8986 -1.83191 54.1254 -2.03554 1 13 0.0481781
49.0721 56.7365 1.30566 3.1086 57.6133 114.331 0 0 48.3817 -1.34814 99.424 1.18868 1 11 19.5552 -2.34092 102.538 2.49434 -1 13 1.05148
38.1552 39.6718 1.4757 2.83681 32.3706 70.8409 1 0 32.7802 0.400942 35.4504 2.78462 -1 11 19.4484 1.07611 31.8389 -2.02287 1 13 0.122237
48.4141 49.0372 1.45157 2.92603 26.3001 71.4076 0 0 33.6346 0.217849 34.4361 3.03543 -1 13 31.9071 -0.420817 34.7742 1.58386 1 11 1.16492
36.9593 70.708 0.590791 2.36175 51.9147 112.079 0 0 56.1531 -0.0995971 56.4318 -1.37712 -1 11 16.7785 -1.11001 28.2212 -0.786331 1 13 1.182
19.9709 87.9604 0.468292 2.72165 27.4152 96.056 1 0 59.5121 1.10093 99.3712 1.61881 -1 13 30.6535 1.04347 48.912 2.08711 1 11 0.688632
41.6084 61.5805 0.313496 3.0407 70.104 131.241 0 0 33.482 -1.25257 63.3665 -1.28671 -1 13 28.8586 -0.0287568 28.8705 -1.60021 1 11 0.504867
43.5021 51.8382 0.080007 2.91211 73.3329 122.501 0 0 28.0955 1.79655 87.0209 -1.13942 1 13 23.7839 0.268612 24.6471 -1.05941 -1 11 0.703685
51.6415 67.1423 1.10876 3.00968 22.8245 78.1238 0 0 48.2411 2.12747 205.331 -1.62008 1 13 29.909 1.29184 58.5357 -2.72884 -1 11 1.00594
17.395 75.0893 0.054172 2.35347 27.5435 83.9844 0 0 45.0631 -2.27668 221.866 -3.06709 -1 13 30.0527 -1.81133 94.3961 -3.12126 1 11 1.124
27.4514 54.5735 0.925405 2.99411 55.1037 109.378 0 0 36.5399 1.11907 61.9095 1.62969 1 13 24.1315 1.35856 50.0441 2.5551 -1 11 1.08427
19.4819 74.1204 0.455599 1.951 54.6316 105.376 0 0 39.3166 2.40976 220.589 1.48581 -1 13 36.7672 2.1684 162.854 1.94141 1 11 0.586022
33.2394 77.5789 0.840134 2.67047 32.5747 97.7642 1 0 54.4185 -2.15317 237.489 0.530794 1 11 29.8346 -2.27648 146.861 -0.30934 -1 13 0.0722521
43.1407 50.2211 0.0855083 2.04757 23.2439 58.3616 0 0 31.2926 -2.19849 142.731 -0.631856 -1 11 18.9716 -0.604282 22.5424 -0.546348 1 13 1.16138
16.0049 82.4192 0.133773 2.08937 27.3901 82.1749 1 0 59.5119 1.52079 142.661 1.55657 -1 11 23.056 1.92881 81.0029 1.69035 1 13 -0.899921
25.8946 108.26 0.257585 2.62773 24.2684 99.1492 1 0 58.7623 2.42694 335.313 -0.333317 -1 13 50.3964 2.02904 194.99 -0.0757322 1 11 0.154381
35.2172 71.7066 0.913269 1.7016 79.6015 113.6 1 0 48.1231 -2.23736 227.99 1.60942 1 13 31.3427 -2.02658 120.98 2.52269 -1 11 0.117699
19.17 86.2196 0.300049 1.89211 37.6858 92.4708 1 0 43.8243 0.561923 50.9273 -1.15947 1 13 43.3747 0.882967 61.4103 -1.45951 -1 11 0.581129
49.5553 79.1981 0.72462 2.15326 24.4645 77.503 1 0 59.3927 -1.07847 97.4132 2.71641 -1 11 24.2497 -2.12646 103.115 -2.84215 1 13 0.0647408
20.2037 53.7545 0.337016 2.96965 20.6603 66.4047 0 0 28.5075 -1.21589 52.3077 0.95653 1 13 26.0177 -0.565729 30.2934 0.619514 -1 11 0
41.1197 47.6262 1.42954 1.76552 33.7201 61.9146 1 0 36.6225 1.56936 91.7712 0.917369 -1 11 25.7251 1.29409 50.4448 2.34691 1 13 1.06082
47.7544 85.9662 0.576819 1.87521 21.9883 70.0974 1 0 44.836 -1.02298 70.4145 0.657648 -1 11 44.8338 -0.150439 45.3423 1.23447 1 13 -1.17327
34.4037 58.7384 0.29158 2.63944 37.2288 90.5932 1 0 33.0143 1.16305 57.9765 0.255223 1 11 26.3458 2.24001 125.141 0.546804 -1 13 0.615418
48.9663 102.635 0.66399 3.01901 30.7381 112.124 1 0 60.4665 2.33961 316.651 -0.761591 1 13 48.0119 1.71651 137.909 -1.42558 -1 11 0.118198
18.2219 69.599 0.394373 2.49554 60.9018 123.476 0 0 40.7452 -2.1329 174.344 1.00764 -1 11 30.1979 -1.79349 93.2626 0.613272 1 13 1.23274
40.3048 44.559 0.0515884 2.75466 55.5369 97.636 1 0 28.1601 -0.716159 35.6955 1.71507 -1 11 16.4127 -2.38844 90.173 1.76665 1 13 0.0442608
47.8019 42.4541 1.5576 1.62125 40.747 60.2846 0 0 33.1308 1.18498 59.244 2.38623 1 13 26.1125 1.98088 96.4477 0.828629 -1 11 0
40.1128 49.5892 0.427458 2.16113 28.8127 66.6952 0 0 28.5882 -0.200668 29.1657 0.591885 1 11 22.1363 1.21515 40.5922 1.01934 -1 13 0.686457
37.3574 47.0196 1.3364 2.689 32.7516 76.4837 0 0 33.8496 -2.35181 179.399 -0.413623 1 13 25.707 -2.09125 105.637 0.922781 -1 11 0.867658
27.3399 113.812 0.0623708 2.76954 61.5048 164.445 0 0 94.7797 -2.05503 376.047 -1.32257 -1 11 19.0628 -1.42537 41.9366 -1.2602 1 13 0.11885
19.6383 78.7537 0.383261 2.47165 40.2407 106.332 1 0 52.3539 -0.655976 64.0278 -0.439308 1 13 27.7259 -1.0015 42.832 -0.822569 -1 11 0.641746
54.5128 65.3848 1.54538 2.94114 53.8995 118.134 0 0 60.6584 -2.21246 280.472 1.74724 1 13 22.9143 -1.78132 69.9587 0.201862 -1 11 0.859452
