mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
43.3988 42.1009 0.590033 3.12172 32.2796 73.7255 0 0 26.4338 0.731255 33.822 2.81764 -1 13 17.484 -0.983826 26.6503 -2.87552 1 11 0.800784
53.7521 58.4397 1.70605 3.00906 63.4127 121.484 0 0 57.2061 -0.247146 58.9622 -2.21322 1 11 21.9322 -0.42893 23.9811 -0.507166 -1 13 1.16978
31.4988 51.8862 0.251363 3.08718 48.6227 100.419 0 0 30.9123 0.0508778 30.9523 -1.69383 -1 11 21.3725 -1.08637 35.2748 -1.94519 1 13 1.14994
18.8358 50.2889 0.562468 2.24145 69.0424 106.113 0 0 31.1652 0.607739 37.1001 -2.37394 1 13 21.0993 0.131214 21.2812 -2.93641 -1 11 0.865444
39.9319 37.0104 1.68728 2.24279 82.7356 99.683 1 0 32.4632 -1.05241 52.1629 1.6811 -1 13 21.9425 -0.974518 33.2129 -0.00617135 1 11 1.11724
36.059 64.6376 1.09332 2.4159 57.2556 113.748 1 0 50.1029 0.47266 55.8046 1.95596 1 11 23.8568 0.389832 25.6928 0.862643 -1 13 0.38137
47.9859 116.198 0.767069 2.93386 53.5251 156.878 1 0 90.5515 1.51277 215.494 -2.47034 1 13 32.5448 1.04663 52.058 -1.70327 -1 11 0.642952
36.896 61.203 0.883517 2.98979 56.0972 116.852 0 0 48.8589 2.18589 220.132 -0.934907 1 11 17.1631 1.27334 33.0621 -1.81842 -1 13 1.23379
49.9343 90.8295 0.924677 2.58876 58.3561 140.081 0 0 55.1825 0.904891 79.3593 -1.52766 -1 13 46.2029 0.481272 51.6578 -2.45234 1 11 1.14401
54.8819 72.5895 0.504113 2.72337 70.3455 139.804 0 0 45.2265 1.10154 75.5545 2.27845 1 11 29.6238 2.41831 167.611 1.77434 -1 13 0.859998
42.9181 143.744 0.167822 2.79174 68.6045 195.579 1 0 100.821 2.05685 400.723 -2.41321 1 11 43.3496 1.43954 96.5782 -2.58103 -1 13 1.23305
22.3533 69.8739 0.604767 3.13889 78.0875 147.733 0 0 54.6437 -0.889013 77.6976 -0.73705 -1 13 17.6349 -0.487026 19.768 -1.34182 1 11 0.722187
14.2781 98.5085 0.277582 2.36315 26.6997 94.8982 1 0 65.8158 0.92815 96.2593 3 -1 13 33.547 0.802663 44.9464 -3.0056 1 11 0.576833
40.6578 50.3176 0.983893 2.76552 57.3165 105.513 0 0 38.8337 1.27017 74.6042 -2.31416 1 13 17.0468 0.075709 17.0957 2.98513 -1 11 1.12846
10.3844 55.331 0.265104 3.06765 56.4683 111.717 0 0 31.0347 -1.72714 90.0366 1.53572 -1 11 24.7798 -1.46274 56.3662 1.27062 1 13 0.609856
52.7416 67.619 1.31754 2.62002 45.9454 107.708 0 0 43.0393 -0.6875 53.6177 -0.12128 1 11 42.4727 -0.838379 58.2944 -1.43882 -1 13 1.13991
25.1491 62.4466 0.519608 2.79818 103.237 158.223 1 0 38.5876 -1.21621 70.8224 -1.78456 1 11 25.94 -1.81381 81.6697 -1.26495 -1 13 1.36581
44.4417 60.1897 0.418107 2.71437 40.6335 96.6604 0 0 38.806 0.906359 55.8669 2.72214 1 13 22.6275 -0.432546 24.7774 3.14025 -1 11 0.55911
54.0427 39.4936 1.77937 3.02409 68.7018 103.999 1 0 32.1918 -0.933714 47.2741 -0.620592 1 11 30.4956 -1.66616 83.57 1.15877 -1 13 0.671479
26.561 41.6605 1.11574 2.3739 60.7171 93.2687 1 0 32.0541 1.10646 53.7605 -3.03674 -1 13 16.0217 1.60401 41.4485 2.13071 1 11 0.647608
31.3331 68.895 0.192243 2.81798 97.3448 161.648 0 0 39.0995 1.82927 124.921 -0.291084 1 13 30.1096 0.963752 45.2092 -0.483327 -1 11 0.63787
52.3406 57.8611 1.64603 2.9498 56.5285 113.856 0 0 55.2893 1.9816 204.354 -1.59914 -1 11 21.7131 1.62075 57.0475 3.03801 1 13 1.05098
37.7869 35.5142 1.67323 2.64169 76.5963 101.071 1 0 31.5714 -0.79958 42.2131 -2.3946 -1 13 19.8091 -0.520195 22.5503 -0.721376 1 11 1.10762
34.882 81.262 0.989675 2.76396 64.3508 142.057 1 0 69.7836 -0.24014 71.8055 -2.76471 -1 13 18.2716 -0.0121848 18.2729 -1.77504 1 11 1.09242
44.9258 70.2867 0.514033 2.4012 58.2473 119.3 1 0 51.4495 -0.522468 58.6329 -0.219278 1 13 20.7758 -1.72525 60.1675 -0.733311 -1 11 0.676471
51.0004 73.4346 1.23423 3.04307 85.5838 158.361 0 0 52.9694 0.920445 77.0375 0.786264 -1 13 36.2925 1.03663 57.6025 2.02049 1 11 1.00206
39.319 31.8034 1.78599 2.12769 20.1121 44.2203 0 0 26.8316 0.698514 33.648 -1.88465 1 11 23.7392 0.701542 29.8247 -0.0986576 -1 13 0
43.4121 46.3731 1.50594 2.97625 101.091 136.469 1 0 34.9326 1.68961 97.8459 0.0521012 -1 11 28.3187 1.87563 94.5584 1.55804 1 13 1.10272
42.0283 94.2726 0.940821 2.69172 96.6766 186.124 0 0 74.6814 -0.259067 77.2016 -2.99337 -1 13 28.4307 -0.158288 28.7877 2.349 1 11 1.15549
53.3208 91.7835 0.0386353 3.02367 36.9203 116.222 1 0 56.4865 -0.174608 57.3498 -2.50548 -1 11 35.3132 -1.30645 69.9879 -2.54412 1 13 0.531822
32.0368 73.5068 0.925783 2.82055 59.9895 131.103 0 0 58.3292 -2.15693 255.488 2.29678 1 13 21.7714 -2.05395 86.2896 1.371 -1 11 0.66746
14.172 48.6683 0.134168 2.73248 55.8717 102.117 1 0 27.3234 0.268601 28.3152 1.77421 -1 13 21.453 -0.293726 22.3851 1.90837 1 11 0.644383
45.5627 62.9788 0.0722077 2.80653 38.0504 96.5347 0 0 39.8281 -1.16824 70.2419 -0.145736 1 13 23.1889 0.216056 23.7323 -0.0735281 -1 11 0.975231
45.5631 46.0841 1.5066 2.74255 54.8091 98.5212 0 0 35.9702 0.512971 40.8076 1.44392 1 13 26.5924 -0.0269092 26.6021 -0.0626789 -1 11 1.11027
19.7373 40.6231 0.936786 2.95144 41.2201 81.4714 0 0 29.3246 -1.80136 91.2425 -1.81151 1 11 15.6752 -1.62225 41.2411 -0.874723 -1 13 0.93647
41.1609 68.2365 0.912549 2.64117 48.1046 111.018 0 0 45.2945 -1.24601 85.2461 -0.874321 -1 13 30.364 -0.583417 35.6799 0.0382278 1 11 1.17004
23.6835 86.4665 0.330863 3.13216 53.9348 136.579 0 0 54.2691 0.484969 60.7771 0.587016 1 11 33.3245 0.930349 48.8173 0.917879 -1 13 1.14879
44.0016 90.4433 0.43744 2.48937 36.0715 108.215 1 0 53.8141 0.386942 57.8932 1.5117 1 11 38.7762 1.22238 71.5383 1.07426 -1 13 1.17897
37.6996 65.4468 1.05176 3.10334 57.3284 122.484 0 0 44.0617 -0.250226 45.4484 -0.415385 -1 11 31.2429 -0.093851 31.3808 0.636373 1 13 1.20348
51.1386 99.5297 0.83969 2.07572 22.4728 81.4703 1 0 56.8238 -0.79727 75.8607 -2.5703 -1 13 52.152 -1.25987 99.3142 -1.73061 1 11 1.11725
54.5659 106.429 0.915409 2.48032 24.7647 97.1165 1 0 71.8916 0.105595 72.2929 0.167095 1 13 46.0655 -0.236229 47.3568 -0.748314 -1 11 1.19415
26.7892 88.0624 0.651481 2.83259 48.2177 128.773 1 0 70.6829 -1.16155 123.974 1.80392 1 13 20.7227 -0.879081 29.2589 2.4554 -1 11 1.22006
44.0411 68.3188 0.622529 2.72523 45.017 108.52 1 0 44.2473 -1.03064 69.903 -1.15912 1 13 27.313 0.0281433 27.3238 -0.536593 -1 11 0.167939
46.8041 86.7126 0.871038 3.08802 86.5769 173.227 0 0 55.7099 1.27413 107.388 2.73568 -1 11 39.6378 0.750887 51.3474 -2.67647 1 13 0.978548
49.85 75.5921 0.043798 3.10672 69.2462 144.677 0 0 46.7302 2.13688 200.729 -2.77443 1 11 28.879 0.867566 40.4464 -2.73063 -1 13 0.583239
48.376 118.767 0.247973 3.13095 93.0446 210.241 0 0 61.6586 -0.870688 86.5446 -2.55214 1 13 58.0259 -0.118531 58.434 -2.30416 -1 11 0.828134
23.8085 90.9994 0.484882 2.96063 62.2362 149.896 1 0 48.1034 -0.521353 54.7903 -0.017398 -1 11 45.6355 -0.355215 48.5451 0.467484 1 13 1.03791
43.9604 58.2287 1.36567 3.04572 82.3621 138.345 0 0 48.2668 -1.10669 80.9672 2.0853 1 11 24.1912 -1.35592 50.052 -2.83222 -1 13 1.16199
37.3201 61.9392 0.950469 2.56487 47.448 103.947 1 0 38.654 -1.15076 67.2001 -1.26127 1 11 30.8897 -1.71682 88.7529 -2.21174 -1 13 1.16107
54.2612 70.9085 1.59181 2.44705 26.0892 80.887 0 0 68.2386 -1.74613 201.537 2.93583 1 11 20.761 -1.55613 51.3983 1.34402 -1 13 0.595681
26.7377 80.5817 0.550463 3.02709 72.2722 152.378 1 0 61.2007 -0.91709 88.7924 1.37437 1 11 21.7896 -0.431347 23.8485 0.823902 -1 13 1.21146
34.9494 80.0717 0.498597 2.28084 47.8255 112.479 0 0 42.3216 0.378707 45.3929 -2.86387 1 11 40.3029 -0.295895 42.0803 2.92072 -1 13 1.48694
45.3089 74.9916 0.630133 2.72963 43.6128 111.96 1 0 54.6985 1.21241 100.072 -0.424779 -1 13 23.5183 0.160765 23.8228 -1.05491 1 11 0.33022
46.0306 46.3816 1.30772 1.74452 60.6785 81.2505 1 0 31.4356 -0.512379 35.6531 -2.39964 1 11 26.8949 0.461663 29.8125 -1.09192 -1 13 1.66442
11.3905 48.8917 0.28949 2.81991 86.6929 128.528 1 0 25.6038 0.651085 31.2251 2.03583 -1 11 23.8038 0.292976 24.833 1.74634 1 13 0
32.4017 96.3902 0.472194 1.71795 46.1439 100.995 1 0 52.2628 -1.44739 117.257 -2.43095 1 13 46.8691 -0.993328 71.957 -2.90314 -1 11 1.17326
35.0914 89.1857 0.739908 2.50369 42.5289 116.962 1 0 76.6465 0.503737 86.5785 -2.95076 1 11 16.0827 -0.173171 16.3248 -2.21085 -1 13 1.51132
49.3516 71.3441 1.00569 2.3238 78.0167 136.911 1 0 56.3964 1.21812 103.674 -2.58573 1 11 22.9173 0.275904 23.7953 -1.58004 -1 13 0.622922
21.601 53.9828 0.490585 3.14159 82.2178 133.242 1 0 29.4468 -0.985019 44.9254 1.78088 -1 11 26.1959 -0.386562 28.1778 2.27147 1 13 0.492144
