mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
37.3847 41.0115 1.44152 2.52021 37.8773 75.0525 0 0 29.8533 -2.04367 117.151 -2.89071 1 11 24.5333 -2.44845 142.99 -1.4492 -1 13 0.758862
47.7876 37.4324 1.71662 1.62776 92.1846 85.4066 1 0 35.4523 -0.508922 40.1434 -2.4539 1 11 18.2228 -1.57339 45.8331 2.11266 -1 13 1.20363
29.7906 40.0571 1.07264 2.57116 20.5771 55.1002 0 0 29.5258 2.25419 142.204 0.56945 1 11 16.4182 1.39422 35.1339 1.64209 -1 13 0.541228
23.4956 45.8845 0.962235 2.80461 47.515 92.0628 0 0 34.7933 2.22017 162.094 0.162871 -1 13 16.032 1.85746 52.6133 1.12511 1 11 1.38646
19.2326 49.3632 0.24314 2.45002 39.8289 83.432 1 0 29.4127 -2.37493 159.465 0.270374 -1 11 20.3051 -1.64276 54.4468 0.0272334 1 13 0.55993
17.5434 51.6793 0.639231 3.08571 29.1023 77.5322 1 0 27.3871 2.23181 129.048 -0.816519 -1 13 27.049 2.37498 146.658 -1.45575 1 11 0.476151
45.6031 39.4194 1.44848 3.03556 55.2119 93.1731 1 0 28.4445 -0.956577 42.4816 -0.650492 1 11 24.0401 0.123794 24.2248 -2.09897 -1 13 1.17195
47.6353 74.2809 0.964736 2.30669 38.7725 98.1151 1 0 63.177 -0.114781 63.5936 -0.0816774 1 11 17.1295 0.946475 25.3922 -1.04641 -1 13 1.69689
47.3964 48.4114 1.05797 2.97389 34.2906 81.2012 1 0 30.2272 1.10129 50.4868 3.06816 1 11 25.7887 2.37778 140.209 2.01019 -1 13 1.22877
54.6469 39.6093 1.63222 3.07439 35.9127 75.389 0 0 32.0951 2.1173 135.265 -1.37912 1 13 25.2658 0.93791 37.2175 0.253099 -1 11 0
46.0855 46.8925 1.48097 3.09757 51.7424 98.4918 0 0 32.6504 -1.33281 66.2055 -2.39729 -1 13 30.8561 -1.8628 101.778 2.40492 1 11 1.22812
12.2776 53.0199 0.257667 1.58325 77.6007 91.2757 0 0 31.3963 0.295126 32.7737 -0.150487 -1 13 22.053 -0.0918895 22.1462 0.10718 1 11 0.829013
41.1142 54.4862 1.27948 1.81589 84.2292 106.798 1 0 35.0863 -1.43255 77.6821 1.59496 1 13 32.8092 -1.22594 60.7108 0.315484 -1 11 1.09869
26.1926 50.8151 0.973974 2.14624 25.6744 63.4767 0 0 37.7166 -0.345428 39.9892 2.08371 1 11 18.9145 -0.637086 22.8848 3.05768 -1 13 0
48.3971 48.2193 0.93452 2.48912 51.8508 94.7294 0 0 27.9603 -0.391725 30.1333 -2.53127 1 13 26.0397 -1.81852 82.3509 -1.59675 -1 11 0
39.6587 43.9898 1.61626 3.05373 36.5792 80.1501 0 0 41.9048 1.20554 76.2265 -0.345809 1 11 15.4217 1.783 47.1583 -1.96207 -1 13 0.647297
28.3815 48.5181 0.552498 1.97823 70.533 97.7565 0 0 27.1439 1.38643 57.6878 -0.290835 1 13 23.2743 0.434165 25.5025 0.261663 -1 11 0
40.0733 60.9756 1.08334 1.82797 33.3263 71.3996 0 0 40.2489 -0.163421 40.7876 -2.69485 1 11 30.6804 0.318914 32.254 -1.61151 -1 13 1.18701
42.3127 70.0248 1.11848 3.0969 68.7171 138.701 0 0 54.1209 -2.37803 294.32 2.29627 -1 11 26.6842 -2.04229 104.575 1.17779 1 13 0.656203
40.0837 45.4005 1.32898 3.12973 39.8965 85.1178 0 0 36.8457 -1.94124 131.004 0.576806 1 13 19.1312 -1.09588 31.8157 -0.752178 -1 11 1.08378
52.9561 40.4604 1.67484 2.68492 27.9755 65.5409 0 0 38.7748 0.976502 58.7784 -0.83435 1 13 16.2651 -0.406812 17.6297 0.840487 -1 11 0.75432
19.5316 47.9772 0.280656 2.48601 51.0416 93.7017 0 0 28.2595 -1.36473 58.9227 0.429144 -1 11 20.1806 -2.1155 84.9032 0.7098 1 13 1.49807
32.8399 31.7576 1.65844 2.2316 52.8201 73.5794 1 0 28.4001 1.5801 71.8721 2.31297 1 11 16.9136 1.31626 33.8068 -2.31177 -1 13 0.988015
49.8276 61.4963 0.502841 2.20054 45.2734 94.062 0 0 44.747 -0.505965 50.5979 -0.0743999 1 11 18.3833 -2.02129 70.597 -0.577241 -1 13 1.20303
51.6692 50.7253 0.6703 2.2637 71.2328 108.825 0 0 28.7439 1.78696 88.2258 0.783613 -1 13 24.9538 0.159105 25.2703 0.113314 1 11 -1.19328
