mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
37.731 50.2714 1.17086 2.72149 33.8288 80.6644 0 0 42.4138 0.443737 46.6585 0.629152 -1 11 15.1244 -0.517753 17.1977 1.80002 1 13 23.6195
14.3719 51.0645 0.550535 2.87998 63.7127 113.104 0 0 28.7126 0.563631 33.3956 0.539396 1 13 24.3351 0.572187 28.4286 -0.0111392 -1 11 5588.91
23.4844 47.773 0.68208 2.75213 33.4756 78.4691 0 0 26.3149 2.31042 133.915 1.15093 1 13 24.3729 1.67878 67.5817 1.83301 -1 11 7098.28
29.9185 47.8876 0.353849 2.55694 59.8677 102.544 1 0 31.3456 1.57896 79.2435 3.1185 -1 11 17.2359 0.408821 18.6967 2.76465 1 13 4431.66
29.0029 36.1702 1.31873 3.04569 34.4548 70.523 0 0 25.0225 -0.0448168 25.0479 1.94755 1 13 20.6126 0.313323 21.6327 -3.01691 -1 11 0
33.2476 42.1479 1.34819 3.07435 44.0029 86.0822 0 0 31.2962 0.335053 33.0693 -1.59596 -1 11 22.155 0.14625 22.3927 -0.247763 1 13 8777.31
41.9578 44.7456 1.76217 3.05983 36.6593 80.9346 0 0 45.0413 2.0954 185.834 -1.129 -1 11 15.412 2.48731 93.3348 0.633172 1 13 8961.13
33.7454 43.6494 1.38235 2.77808 21.0223 59.5862 0 0 35.4341 0.666602 43.6027 0.388806 -1 11 19.7014 0.742968 25.394 -0.993546 1 13 8410.4
38.0793 35.4886 1.77159 2.91867 28.7318 63.4677 0 0 34.8072 1.27108 66.9212 0.839279 -1 11 16.7448 1.56822 41.9167 -0.932308 1 13 6990.92
38.7288 44.5754 1.30333 2.66835 71.6762 109.899 0 0 31.3705 -0.143806 31.6954 0.384834 -1 11 24.4444 0.538944 28.0815 1.68816 1 13 7537.17
29.4742 44.0179 1.22231 2.84086 35.7867 78.4833 0 0 34.6741 -1.67479 95.788 -1.73106 -1 11 17.7481 -1.98109 65.5664 -2.95337 1 13 4624.77
54.6354 48.7178 1.58938 3.11946 70.8328 117.48 1 0 41.9691 0.89925 60.1131 -0.512109 -1 11 25.5314 0.0590014 25.5761 1.07728 1 13 7448.63
45.7594 43.001 1.77705 2.79832 36.3939 77.957 0 0 42.4419 -0.475337 47.3276 -2.60296 -1 11 19.7971 -0.189181 20.1527 -0.825901 1 13 4826.11
33.9411 56.0536 0.483923 2.95497 57.9258 113.468 1 0 40.2013 1.07074 65.5341 0.760065 -1 11 17.2558 2.20516 79.2209 1.24399 1 13 13877.4
28.9668 47.1677 0.653218 2.93867 108.922 142.617 0 0 25.8175 0.220473 26.4476 0.809725 -1 11 23.9789 1.15724 41.9091 1.46294 1 13 -0
41.5014 30.1204 1.75497 2.97492 29.5957 59.5065 0 0 25.9834 -1.63147 68.9475 -3.08079 -1 11 20.7191 -0.747823 26.7878 1.44743 1 13 0
