mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
18.7028 44.8461 0.326103 3.09606 40.2798 84.9813 0 0 27.7056 -1.02012 43.4159 -2.22811 -1 13 17.7135 -1.78093 54.0604 -1.90201 1 11 0.0864704
31.6134 37.5295 1.43741 2.81834 26.8395 62.6479 0 0 31.7175 -2.43892 183.135 -2.64453 1 11 16.282 -1.9941 60.9089 -1.20713 -1 13 0.213098
47.0633 61.091 1.58019 2.52869 53.5946 109.109 1 0 59.1555 1.11433 99.8443 2.74258 1 11 15.8212 0.532837 18.1211 1.1624 -1 13 0.0223986
28.9096 60.5199 0.886944 2.84988 35.1318 91.2417 1 0 35.728 0.987095 54.594 -1.72979 1 11 31.2391 0.87595 44.0101 -2.61673 -1 13 0.250708
35.8732 32.4096 1.53881 2.61709 66.7572 89.8478 0 0 26.347 0.114611 26.5202 0.500839 1 11 18.05 -0.736897 23.1768 -1.03797 -1 13 0
44.3108 50.487 0.0373382 1.6481 74.2145 89.847 1 0 32.3802 1.31168 64.4654 0.0639303 1 11 18.1149 -0.327664 19.0963 0.101268 -1 13 0.0976525
41.1665 69.1819 0.213471 2.38534 31.8114 87.1968 1 0 53.4945 0.179352 54.3572 2.34777 1 11 15.9672 -1.1197 27.067 2.1343 -1 13 0.278628
14.6198 51.2237 0.362137 2.25727 91.7876 123.949 1 0 36.8132 -1.11064 61.9505 -2.81806 -1 13 15.11 -0.611359 18.0228 -2.45592 1 11 0.230713
27.8901 40.281 1.27659 2.82746 65.7017 101.622 0 0 32.0036 -2.28071 158.192 -1.74521 1 11 16.8817 -2.14069 72.7846 -3.0218 -1 13 0.24924
42.607 48.8772 0.564598 1.60942 50.9841 71.947 1 0 32.6737 0.3141 34.2989 -1.08411 1 13 18.0407 1.82911 57.6301 -0.519516 -1 11 -0.151428
35.0346 42.0506 1.54284 2.28673 67.8332 97.2063 1 0 38.2382 0.863816 53.414 -3.0797 1 13 16.4595 0.785902 21.8096 -1.53686 -1 11 0.14852
48.8484 47.7668 1.43529 2.90895 44.3223 91.4029 0 0 32.3924 -1.29216 63.4136 2.99989 -1 13 31.0014 -0.508439 35.0956 -1.848 1 11 0.146405
