mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
40.4482 41.7739 1.61332 2.19091 57.8222 87.3973 1 0 37.9572 -0.0734327 38.0595 -0.84353 1 11 19.1325 -0.480247 21.3819 -2.45685 -1 13 0.0447126
38.182 34.3461 1.64707 1.86982 36.5737 57.0302 0 0 31.7472 0.716071 40.2403 2.78307 1 11 15.7469 -0.132183 15.885 -1.85305 -1 13 0.000184275
47.1305 70.2504 0.381737 1.92608 51.5691 98.8227 1 0 47.2713 -1.51367 112.588 0.745201 -1 13 24.1386 -0.255644 24.9317 1.12694 1 11 -0.088305
17.4719 71.8435 0.452142 3.04121 31.7194 95.354 1 0 50.9142 -1.27314 98.0609 1.91416 1 13 22.5152 -1.52801 54.3286 1.46202 -1 11 0.0755327
45.5422 48.375 1.69454 1.88206 30.0263 61.6016 0 0 47.5244 -0.480436 53.1155 -1.28054 1 11 16.6353 0.123991 16.7636 0.413993 -1 13 0.0600695
41.3462 51.4453 0.223032 2.86581 36.5119 85.8575 0 0 31.2674 1.76594 94.0846 2.75857 1 11 20.4854 0.286247 21.3307 2.98161 -1 13 0.000225846
54.807 70.2656 1.55734 1.80832 56.7937 99.2939 1 0 67.2613 0.420428 73.2939 2.87716 -1 11 19.4421 -0.14127 19.6367 -1.84868 1 13 0.0737227
46.2415 38.4894 1.67399 1.8988 43.5475 66.5745 1 0 36.436 1.72156 105.154 -2.13326 1 13 16.7125 0.633465 20.1793 2.47594 -1 11 0.075114
41.7292 43.3741 0.735658 2.43256 28.4945 65.939 1 0 29.9941 0.368767 32.057 0.20978 -1 13 16.1835 -1.21319 29.6277 -0.525878 1 11 0.0268998
54.319 56.3926 1.673 1.66675 25.2845 55.9012 1 0 55.6391 -1.36759 116.302 0.974588 1 11 16.4763 -0.39874 17.8039 2.64759 -1 13 0.0856355
