mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
37.5863 56.218 1.07327 3.05105 48.892 104.747 1 0 47.3479 -2.20918 218.226 -0.686813 1 11 15.2086 -1.28519 29.5957 0.386456 -1 13 2392.82
40.234 45.2524 1.2873 2.99351 27.1895 69.9616 0 0 36.9821 1.20514 67.2498 -1.09688 1 11 17.7111 0.229078 18.1782 0.190415 -1 13 2026.55
24.4358 49.9472 0.884506 1.8323 46.4747 76.4383 0 0 33.8746 -1.55457 83.7435 -1.36351 1 11 21.0552 -1.23273 39.1848 -0.479006 -1 13 1277.32
45.5983 49.2748 1.65093 1.693 62.1159 82.8715 1 0 47.3403 2.25024 227.125 -0.796113 -1 11 17.9758 1.72421 52.0075 0.854813 1 13 2339.8
52.3548 45.331 1.53579 2.67206 26.7517 67.7366 0 0 33.291 -0.651656 40.6133 -2.17841 -1 11 29.6241 -1.5434 72.4921 -0.64262 1 13 983.184
28.678 49.4207 1.18055 1.63268 32.8061 58.6782 1 0 41.6546 -2.15854 182.738 2.04468 -1 11 15.1118 -2.41724 85.4125 -3.05795 1 13 2412.18
31.2055 56.0053 0.518914 2.02936 38.6898 79.0697 0 0 37.9577 -1.21133 69.3821 1.12668 -1 11 19.7859 -2.1885 89.3718 0.607768 1 13 1145.97
34.4303 65.9828 0.571139 1.72937 28.7404 66.2696 1 0 43.3164 1.14085 74.6986 0.916196 1 11 25.2464 0.291128 26.3241 0.345057 -1 13 2295.92
27.3935 70.2625 0.344113 2.72825 30.8573 91.1442 1 0 55.6088 1.31717 111.238 1.78276 1 11 15.3629 0.470334 17.094 1.43865 -1 13 2136.58
11.292 52.335 0.445744 2.97327 52.8722 104.833 0 0 35.4951 0.700047 44.5536 -2.56426 1 11 18.0208 0.637845 21.8128 -2.11852 -1 13 2157.04
