mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
40.122 48.2607 1.44851 2.65219 78.1056 119.133 0 0 40.1797 -2.43856 231.915 1.97496 -1 13 22.2781 -2.23321 105.118 -2.85971 1 11 1554.78
18.5639 41.8194 0.843145 3.13428 31.2976 72.3555 0 0 25.8551 -2.4406 149.533 1.66048 -1 11 19.8992 -2.4378 114.771 2.50362 1 13 0
41.1479 43.4811 1.37806 2.50691 33.8459 72.8933 0 0 28.3783 -0.233738 29.1571 2.51371 1 11 27.9533 0.470937 31.1109 -2.39141 -1 13 2207.73
42.8649 35.4836 1.74432 2.65275 33.9841 67.3872 0 0 30.0189 -2.00659 113.657 -0.562899 1 13 24.7996 -2.3552 131.873 -2.30722 -1 11 2779.5
47.1497 52.2504 1.79701 1.64374 71.9157 89.7941 0 0 53.3667 2.41793 301.836 -2.83003 1 13 17.0071 2.39004 93.5867 -1.03302 -1 11 2275.38
18.2948 60.6957 0.560201 2.55989 25.9004 75.9675 0 0 33.9653 -2.31118 172.977 -0.660348 1 11 29.1768 -2.48987 177.142 -0.100147 -1 13 1692.12
43.261 49.825 1.65561 2.49323 32.1608 75.89 0 0 48.1273 -2.13924 207.205 -0.841834 1 13 17.6013 -2.33859 92.0816 -2.49744 -1 11 1569.06
25.9217 53.2821 0.193264 3.03104 66.1659 118.57 0 0 27.3198 -1.36631 57.0423 -2.64049 -1 11 26.2119 -2.28311 129.868 -2.83376 1 13 1282.58
19.7555 54.102 0.686233 2.22218 45.8776 89.2963 0 0 29.3056 2.30086 147.743 -2.80621 -1 13 28.1437 2.15795 123.396 2.79075 1 11 2171.8
50.7371 67.1884 1.63799 1.57371 38.875 72.3817 1 0 66.49 1.14448 115.002 0.660146 1 13 15.1081 1.78781 46.4095 2.29813 -1 11 1048.85
39.5873 51.21 1.27863 2.99835 57.5094 108.258 0 0 40.6813 2.40891 228.055 -0.243562 1 13 21.521 1.81275 67.6888 -1.52219 -1 11 1113.16
25.0306 52.322 0.818335 3.01527 23.8399 70.4948 0 0 30.6846 -2.12486 130.274 2.44226 1 11 26.3135 -1.74918 77.9381 1.62392 -1 13 1069.58
