mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
54.9218 36.2391 1.51792 2.62221 34.2009 68.0495 1 0 26.0568 1.42336 57.2202 -0.075735 1 13 23.8461 -0.134722 24.0628 -1.59366 -1 11 -1780.81
44.6584 34.5986 1.74037 1.57963 92.4388 80.3305 1 0 31.4983 1.23054 58.5115 -3.05795 -1 11 20.5859 2.06526 82.4896 -1.31758 1 13 0
46.4274 38.118 1.71917 2.64425 24.7916 59.5908 0 0 36.8581 -0.417994 40.1252 -1.83338 1 11 16.5911 0.640546 20.113 -0.114211 -1 13 1302.73
53.5622 33.8988 1.76964 1.67943 24.4467 42.8618 1 0 27.2676 1.65027 73.6275 -0.747654 -1 11 26.234 0.452215 28.9626 -2.51729 1 13 2668.45
48.4076 58.6598 1.49598 1.57746 46.0601 73.7549 1 0 52.8492 0.206206 53.9769 0.660223 1 13 21.8086 -0.217917 22.3285 2.1562 -1 11 2033.83
50.502 213.337 0.577025 1.64206 57.5758 162.22 1 0 185.093 0.086759 185.79 -2.3365 1 13 32.8036 0.395741 35.406 -1.75947 -1 11 1670.59
47.3775 76.0209 1.07196 2.17909 50.5383 109.886 1 0 66.7649 0.701286 83.8664 -1.76398 1 11 16.4519 1.66384 44.9876 -0.692013 -1 13 1402.8
54.8386 47.1967 0.394217 2.98251 23.5572 66.4771 0 0 31.7199 -1.82406 100.843 -2.73869 1 13 16.3102 0.194362 16.6193 -2.34448 -1 11 -2284.24
42.3892 39.0842 1.55865 1.62225 27.6321 47.6554 1 0 35.3327 0.784142 46.7636 0.545625 -1 13 16.2849 -0.241361 16.7615 -1.01302 1 11 513.237
53.4868 43.4727 1.37848 2.11502 38.096 70.9028 1 0 38.0043 2.06775 152.653 -0.994235 1 13 15.059 0.421345 16.4156 -2.37271 -1 11 2737.67
34.8585 30.4158 1.75692 1.60076 31.9366 44.7321 0 0 28.0894 0.703848 35.3394 -1.52187 1 13 17.97 0.511427 20.3717 0.235054 -1 11 1116.77
34.0106 49.363 1.20086 1.70393 26.5012 54.4394 1 0 41.8702 -1.16074 73.3887 -0.101734 1 11 15.0737 -1.89 51.0279 1.09913 -1 13 948.226
50.2642 32.7212 1.60147 2.98404 23.694 55.5155 0 0 27.8495 1.16745 49.0841 -3.02987 -1 11 18.0531 -0.391396 19.4539 1.65185 1 13 1235.22
50.2828 58.9439 1.71608 1.60897 44.5245 73.8188 1 0 59.0671 0.121136 59.501 -0.61975 -1 11 16.2046 0.706014 20.4141 -2.33583 1 13 654.621
45.8161 40.2964 1.45805 1.766 24.4897 48.5441 1 0 35.066 -1.98352 129.846 -2.54436 1 11 16.2968 -0.696486 20.4122 -1.08631 -1 13 1232.53
44.3963 34.1662 1.77102 2.16741 29.7052 56.3051 0 0 32.2628 -0.942355 47.68 2.99799 1 11 19.3636 -1.7872 59.4474 1.22697 -1 13 2293.25
46.2117 51.4904 1.68657 1.5867 35.3383 60.8032 1 0 50.4465 1.29962 99.3935 -1.92513 1 13 17.6754 1.7018 50.076 2.67148 -1 11 2323.47
52.2104 48.7215 1.64509 1.78205 35.7065 64.8762 1 0 38.7153 -1.24458 72.7759 3.06927 -1 13 32.5919 -1.35345 67.288 1.42418 1 11 1871.97
37.9025 49.1706 1.03273 2.40131 20.2911 58.8953 1 0 37.1682 0.39762 40.1454 -0.45558 1 13 18.3567 -0.621009 22.0116 -1.48831 -1 11 2065.18
54.0839 40.572 1.53934 1.62148 25.2107 46.3609 1 0 32.4533 1.67107 89.3422 2.53034 1 13 23.3494 0.376626 25.0251 -2.21351 -1 11 2323.99
52.0407 44.2762 1.74295 2.96334 38.7856 82.5511 0 0 40.2775 1.5702 101.008 -1.89355 -1 11 26.5391 1.13663 45.6094 -0.150597 1 13 2399.49
44.8473 67.808 1.39053 2.725 22.0834 75.7204 1 0 61.3379 -2.18219 275.362 -1.5921 1 13 19.9304 -2.12063 84.2693 -2.98263 -1 11 2037.08
49.0045 40.7297 1.60506 2.97778 39.0169 79.461 0 0 33.1274 -0.686763 41.2516 1.41765 1 13 24.8578 -1.5777 62.7689 3.02271 -1 11 1758.69
41.8044 38.9333 1.38598 2.16173 21.1951 50.6941 1 0 33.0847 0.0673462 33.1598 1.32013 -1 11 15.325 1.32895 30.9707 2.70611 1 13 342.145
47.3233 54.5333 1.49162 1.6916 39.1536 69.1735 1 0 51.0948 0.709429 64.501 -1.52213 -1 11 15.4403 -0.251567 15.9318 -3.01375 1 13 999.668
50.3908 61.1226 1.46782 2.03819 31.4277 74.6518 1 0 52.4966 1.1195 88.9754 -2.13787 -1 11 26.3714 1.31849 52.8131 -0.670056 1 13 1269.75
43.3204 32.7748 1.79568 1.65087 24.2765 41.4561 1 0 29.3573 0.414363 31.9139 0.472139 -1 11 22.5214 1.03094 35.5881 2.26782 1 13 2197.46
