mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
33.923 64.3241 0.132168 3.09075 62.4938 126.764 0 0 40.9503 -1.36579 85.4629 1.83409 -1 11 23.5042 -2.40395 131.121 1.70192 1 13 1
18.9736 42.7184 0.0246923 2.95843 40.1096 82.44 0 0 27.6967 1.5801 70.0919 -0.0456343 1 11 15.0247 2.47925 90.2693 -0.0209421 -1 13 1
47.4354 50.2133 1.31403 2.06237 46.2572 82.6934 0 0 32.4268 -0.487154 36.3514 0.584957 1 13 30.9785 -1.32703 62.5004 1.89899 -1 11 1
48.821 81.5824 0.202396 2.51362 40.6189 109.502 1 0 46.1663 -0.730236 59.032 2.18083 -1 11 35.8289 0.393042 38.6323 1.97843 1 13 1
50.1848 57.7134 0.463743 2.95304 54.0667 111.225 0 0 36.9914 -1.59977 95.3242 1.03659 1 13 22.2061 -0.0652344 22.2534 1.50033 -1 11 1
53.1221 51.5672 1.60282 1.94357 83.8577 108.621 1 0 38.9032 -2.44059 224.995 1.38344 -1 11 35.117 -2.40108 195.351 -0.21938 1 13 1
40.9884 48.7565 1.17305 2.86665 64.4042 111.016 0 0 38.1309 -1.73801 111.76 -1.72393 1 11 19.0146 -0.735638 24.3961 -0.550878 -1 13 1
50.5758 114.7 0.818886 2.76716 64.0044 168.368 1 0 77.4046 2.23375 365.424 -0.0279827 -1 11 46.9285 2.49801 287.214 -0.846869 1 13 1
23.5209 52.5907 0.827304 2.92163 79.5705 128.596 0 0 32.186 -1.56578 80.3898 1.75308 -1 11 25.1661 -1.37449 52.9247 2.58038 1 13 1
52.0466 78.1688 1.19735 2.87768 68.751 145.343 0 0 63.8988 -0.31276 67.0496 0.907607 1 11 27.3907 -0.833485 37.4687 -0.289746 -1 13 1
51.782 44.1062 1.07867 2.82305 61.2599 102.645 0 0 34.8629 -0.222695 35.7309 2.10417 1 11 15.1705 -1.98806 56.4215 1.02549 -1 13 1
47.4831 58.8786 1.34061 2.98127 108.971 159.686 1 0 44.88 0.0384695 44.9133 2.91641 1 11 29.2232 -0.377318 31.3284 -2.02617 -1 13 1
51.4936 64.9075 0.528415 2.44853 60.5478 117.926 1 0 46.0567 -1.00198 71.1765 -1.96186 1 11 20.837 0.446149 22.9456 -2.49028 -1 13 1
22.1208 87.1095 0.294626 2.87593 53.5332 135.373 1 0 60.4578 -1.62367 159.271 -1.88283 1 13 27.4693 -1.17097 48.5545 -1.5882 -1 11 1
