mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
41.0093 41.3257 1.42891 2.0915 47.034 76.298 1 0 31.7452 -1.24227 59.5572 0.023252 1 11 22.3475 -0.454489 24.6958 1.45216 -1 13 1.53609
36.375 32.7656 1.59998 1.96556 44.0612 63.2285 1 0 28.3492 0.457501 31.3683 1.84764 1 13 17.277 1.23933 32.3329 0.247658 -1 11 0.999773
24.2373 51.5401 0.760761 1.69823 54.3063 79.4314 1 0 35.2567 -1.31476 70.3796 2.03787 1 11 19.9107 -1.84286 64.4402 1.27711 -1 13 0.116728
43.8649 85.861 0.220749 2.56039 50.8304 126.587 1 0 47.3001 2.31022 240.661 -0.931112 1 13 39.0817 1.35124 80.5302 -0.710363 -1 11 -0.490642
25.9552 51.9572 0.944107 3.09532 80.3288 129.173 0 0 34.4602 -0.493919 38.7499 -1.51001 -1 13 23.6135 -0.522085 26.9055 -0.565905 1 11 0.0631821
17.8848 65.8012 0.518945 2.75271 31.2096 88.926 1 0 45.5506 1.11819 77.1212 -2.68047 -1 13 22.248 0.889979 31.656 3.08377 1 11 -1.09027
16.6037 58.8566 0.060497 3.02925 20.7003 69.6996 1 0 35.7726 -0.840231 49.1607 -0.335392 1 11 23.1097 -0.273581 23.9802 -0.274895 -1 13 1.59063
30.9278 34.019 1.51314 2.09043 69.8316 84.3235 1 0 27.5856 0.961836 41.3604 -1.03977 -1 13 18.3818 1.00156 28.3983 0.473369 1 11 0.109171
20.8169 56.6421 0.14488 2.5848 48.102 100.376 1 0 31.8795 2.08088 129.691 -2.24884 -1 11 24.9093 1.37148 52.2461 -2.10396 1 13 0.0511902
38.3781 90.2617 0.400784 2.80808 49.0736 131.262 0 0 67.478 -0.120006 67.9644 2.78194 -1 11 24.2065 0.717405 30.7077 -3.10046 1 13 0.978244
32.0714 102.877 0.787366 2.06736 74.8749 150.816 1 0 90.7216 -0.527226 103.625 2.91927 -1 13 16.3031 -0.201781 16.6361 -2.57655 1 11 0.145246
22.5247 36.697 1.0977 3.06392 31.3806 67.8186 0 0 25.3222 -0.928028 37.0319 2.6466 -1 13 17.4204 -0.680839 21.6163 -2.53889 1 11 0.963613
48.815 47.6541 0.843509 3.11939 41.2873 88.7078 1 0 34.9051 -1.99289 130.423 -0.549158 -1 11 16.682 -0.338349 17.6463 0.294351 1 13 0.122747
50.465 43.0192 1.78455 1.9932 68.1345 90.9144 1 0 41.8787 -0.705487 52.74 -1.97858 -1 11 22.141 -1.26582 42.3781 2.52005 1 13 0.177663
45.9509 71.6711 0.363674 2.49045 30.3696 88.4068 0 0 41.6111 -0.347112 44.1432 0.136656 1 11 31.2364 -1.50372 73.7286 0.500331 -1 13 0.812239
25.4266 71.0622 0.813649 2.60625 70.4126 136.435 0 0 58.9112 2.064 235.774 -2.25206 -1 13 16.2516 1.84316 52.6131 -1.43841 1 11 -1.09686
11.9177 64.8042 0.23307 2.95623 46.7467 109.607 0 0 35.1783 2.19581 160.035 2.14599 -1 11 30.0657 1.91358 104.1 1.91292 1 13 1.23911
37.6235 61.2833 1.20804 2.28981 87.3832 133.284 1 0 50.0773 -2.38703 274.749 0.488896 -1 11 21.7732 -2.47608 130.406 -0.71914 1 13 0.176708
23.1979 49.3905 0.781627 2.84414 25.7479 70.5346 1 0 28.0151 0.263166 28.9908 -1.4108 1 11 25.3922 0.679669 31.4866 -0.629168 -1 13 0.694002
25.7753 97.3604 0.100238 2.86145 107.401 202.512 0 0 71.1052 -1.62093 186.847 -2.46578 -1 11 26.3517 -2.19977 120.345 -2.56602 1 13 1.20228
45.287 65.2763 0.0080668 2.90076 40.5666 102.173 0 0 40.0535 -1.93383 141.399 -0.387664 -1 11 25.2233 -0.608276 30.0355 -0.379598 1 13 0.335654
29.9577 52.3204 0.308469 2.94265 64.7591 115.841 0 0 29.6297 2.06816 119.062 -1.86053 1 11 23.3102 1.01922 36.5029 -1.55206 -1 13 0.540279
35.828 68.4011 0.973392 2.67997 106.397 166.094 1 0 48.8003 -0.935712 71.769 1.82086 1 11 27.7834 -0.668693 34.2302 2.79425 -1 13 0.681842
26.7866 73.8812 0.760304 3.03856 53.2893 125.326 0 0 59.7449 -0.904817 85.9161 2.53181 1 13 18.0525 -1.24161 33.8493 -2.99107 -1 11 0.156825
39.7812 67.0803 0.900377 3.03605 52.2098 118.195 0 0 37.4963 1.55877 93.0537 1.3813 1 13 37.0067 0.9493 54.9719 2.28168 -1 11 0.595505
49.7249 213.018 0.368285 3.03431 145.864 352.036 1 0 197.847 -0.526875 225.948 -1.72057 -1 11 16.1764 0.252273 16.6942 -2.08885 1 13 -0.625862
33.1304 59.4324 0.802441 2.9721 51.7141 110.48 0 0 46.3715 -1.17491 82.2328 -0.963371 1 11 16.9716 -0.315839 17.8255 -0.16093 -1 13 0.647246
34.9431 51.8227 1.21476 1.67828 20.7976 48.8551 0 0 39.1529 0.32314 41.2149 1.05039 1 11 22.9436 0.0863473 23.0294 -0.164371 -1 13 -1.17665
48.949 88.526 0.578806 2.88424 73.0904 159.548 0 0 50.1019 1.28704 97.6524 -2.38709 -1 11 42.2355 2.15737 185.076 -2.96589 1 13 0.626639
36.3943 52.5637 1.21785 2.76932 38.7745 88.7317 0 0 36.564 0.595386 43.2384 2.76829 -1 11 27.1828 0.440771 29.8666 1.55043 1 13 -1.17099
16.1586 75.4443 0.273018 1.97037 65.5277 117.191 0 0 41.1892 -1.75417 122.573 0.447092 1 11 34.9587 -1.42815 77.0969 0.72011 -1 13 0.0721469
46.9859 45.0736 0.83548 2.77825 22.656 62.8602 1 0 29.5619 -2.17452 131.722 1.09922 1 13 19.5517 -0.573194 22.8525 1.9347 -1 11 1.08561
43.1086 52.0594 1.2368 2.84743 69.0217 118.593 0 0 32.9583 2.39832 182.845 2.99811 -1 11 30.9169 1.71909 89.0206 -2.04827 1 13 0.528894
48.1379 61.5718 1.54634 2.9183 40.5599 99.3246 0 0 57.625 -0.424025 62.8836 2.21136 1 13 20.3264 -0.25918 21.013 -2.52548 -1 11 -2.82003
36.2117 82.6348 0.662159 2.73218 24.3201 87.787 1 0 68.1547 0.416627 74.1558 0.460209 -1 11 17.4712 -0.385426 18.7853 1.12237 1 13 0.0534484
20.614 49.0488 0.360233 2.34427 46.9059 88.4081 1 0 34.3981 -0.647471 41.8637 3.04245 -1 11 15.3363 0.153763 15.5183 -2.8805 1 13 0.085152
10.6445 58.3035 0.365631 3.07212 60.263 118.479 0 0 37.5086 0.0950041 37.6781 -0.507021 -1 13 21.711 0.0118916 21.7126 -0.14139 1 11 -1.01588
40.3145 83.1791 0.994446 1.67871 150.024 166.27 0 0 65.0103 2.28813 323.685 0.617064 1 13 27.4014 2.33586 142.968 -0.377382 -1 11 0.0610773
45.0516 76.0362 0.401843 2.27377 100.114 158.326 1 0 53.6414 0.950661 79.7623 -2.20855 -1 13 23.7161 -0.185593 24.1257 -1.80671 1 11 -1.11201
25.8508 47.8845 1.04274 2.9167 81.0026 123.773 0 0 35.3943 -1.64172 94.8161 -0.0688186 1 13 19.0202 -1.62324 50.0873 0.973922 -1 11 -0.710154
33.1268 81.6995 0.0160372 2.39012 62.4215 132.862 1 0 62.4393 -0.782731 82.5633 1.26062 -1 11 19.2621 -1.70478 54.7237 1.27665 1 13 1.14953
32.198 42.6937 1.13382 3.05314 21.9608 61.1802 1 0 33.8147 1.29028 66.091 -2.01606 1 11 15.4235 2.17452 68.7242 -0.882243 -1 13 0.108367
30.2342 60.0006 0.932647 2.60722 84.866 137.653 0 0 37.6279 -0.906617 54.1807 1.75148 1 11 29.4177 -0.775548 38.7172 0.818837 -1 13 1.16443
40.1809 48.7106 1.38502 1.6502 42.9655 67.2145 0 0 34.6834 -0.604454 41.2149 2.22336 -1 13 28.3905 -0.699422 35.6225 -2.67481 1 11 0.108738
29.0322 57.4514 0.929081 2.81114 67.8913 123.206 0 0 32.3089 -0.477188 36.0579 -1.76649 1 13 31.9522 -0.593659 37.75 -2.69557 -1 11 -1.17133
14.7281 62.5121 0.412436 2.69382 40.9796 98.7005 0 0 47.0719 -1.17699 83.6183 1.9356 -1 11 16.4717 -0.843883 22.6935 1.52316 1 13 0.0808321
16.0604 87.0551 0.133118 2.66551 25.2221 91.0742 0 0 55.2531 -0.886539 78.4261 2.56389 1 13 31.9814 -1.24279 60.0267 2.697 -1 11 0.309876
52.129 67.9938 0.955595 2.19229 68.4174 121.331 1 0 41.5769 -0.871813 58.4039 1.32686 -1 13 34.9141 -1.84587 113.323 0.371262 1 11 0.152941
37.9203 88.6763 0.267493 2.60944 51.1433 129.948 1 0 51.4869 -1.1808 91.7501 -2.9757 1 11 37.97 -0.386726 40.8451 3.03999 -1 13 -1.08242
29.1327 44.5314 1.2434 2.93127 55.1051 98.5266 0 0 36.7628 -0.507396 41.5976 0.917865 1 11 15.9503 -0.807069 21.4334 2.16127 -1 13 0.597834
30.0964 46.9828 0.968551 2.92481 73.5037 116.842 0 0 27.4073 1.90368 94.0008 2.89793 -1 13 25.672 1.26619 49.152 1.92938 1 11 1.12201
23.5633 48.7633 0.70394 3.13439 50.3081 99.0587 0 0 33.167 -1.66224 90.5591 0.891033 1 11 18.5011 -1.01817 28.9486 1.59497 -1 13 1.20738
22.9944 51.0655 0.548817 2.05789 31.6857 68.9259 1 0 29.1921 1.90555 100.302 -2.20222 1 11 23.8368 1.23546 44.4636 -2.75103 -1 13 0.0590768
52.0205 78.5647 0.554922 1.91691 45.6273 97.9877 0 0 53.7468 -1.24204 100.814 -2.37719 -1 11 27.6021 -2.40916 154.772 -1.82227 1 13 1.08533
40.5959 100.918 0.838186 2.91907 29.7894 108.981 1 0 78.7989 1.94982 282.483 2.19279 1 11 29.4734 2.16667 130.328 3.03098 -1 13 1.51473
25.8086 50.6405 0.950245 2.64274 55.9819 103.193 0 0 34.1247 -1.77861 103.918 1.8167 1 13 22.5092 -1.60531 58.3015 0.866455 -1 11 0.470227
25.4119 51.8262 0.708396 3.09881 57.0461 108.722 0 0 32.4333 -0.129584 32.706 -2.34569 -1 11 22.7057 -0.748676 29.3722 -1.63729 1 13 1.03548
20.1953 92.5522 0.522454 2.54475 27.9601 97.2435 1 0 74.3543 -0.720993 94.532 0.86631 1 11 20.3541 -0.669525 25.0894 1.38876 -1 13 0.0681321
40.8255 33.2789 1.68951 2.88966 63.8244 91.4437 0 0 31.5195 0.391598 33.9673 -2.32786 1 11 15.0442 -0.685983 18.7252 -0.638351 -1 13 1.19625
11.0394 61.7466 0.386358 2.95139 73.7456 134.35 1 0 46.5389 2.2742 228.577 -1.37586 -1 11 16.0956 2.15097 70.0931 -1.76222 1 13 0.0258753
36.237 37.3156 1.33265 2.68028 63.1152 94.4899 0 0 27.2169 0.310606 28.5405 -1.50005 1 13 19.9029 1.22492 36.7973 -2.8327 -1 11 0.553277
31.864 39.004 1.43936 2.3356 50.3163 81.5033 1 0 32.4349 1.14149 55.9627 -3.01607 1 13 17.8253 1.00671 27.647 -1.57672 -1 11 0.223561
36.1957 97.2916 0.786276 2.54439 113.972 201.285 0 0 80.524 1.05941 130.1 -1.57327 -1 11 21.9647 0.66987 27.08 -0.786991 1 13 0.157428
38.7066 51.252 1.25967 2.69621 56.6992 105.151 0 0 36.9058 -0.128761 37.2124 1.18458 -1 13 26.0163 0.283789 27.071 -0.0750858 1 11 0.155584
49.6473 44.8454 1.53044 1.91192 68.9605 90.8533 1 0 35.756 0.228082 36.69 3.08212 1 11 25.6629 -0.621804 30.7862 1.55168 -1 13 0.120407
34.6888 54.1387 0.943704 1.96128 22.1249 57.5107 0 0 33.0138 -1.60047 85.1285 2.73707 -1 11 27.7061 -0.914631 40.1258 1.79337 1 13 0.0907057
20.4751 86.8619 0.4676 1.633 30.0626 74.4798 1 0 58.5409 0.58758 68.9407 0.817576 -1 13 30.5003 0.729199 38.9751 0.349975 1 11 0.70284
29.1034 38.7197 1.26674 2.76822 28.0562 64.7736 0 0 29.6161 -1.98274 109.584 -3.05743 -1 11 17.6044 -1.51451 41.9613 1.95901 1 13 0.0717624
21.8413 47.232 0.80228 2.71929 53.682 98.4709 0 0 30.6566 -1.01682 47.9183 0.120784 -1 11 20.4657 -1.40229 44.109 -0.681497 1 13 1.42577
36.308 37.8747 1.57825 1.64039 42.0324 58.3552 1 0 32.0774 -0.159213 32.4848 -2.33269 1 11 20.3786 -0.200426 20.7895 2.37224 -1 13 0.0882311
25.7943 42.2263 0.0239937 2.46293 25.2962 61.6383 0 0 22.6447 1.19307 40.766 2.65901 -1 13 19.5846 0.0343855 19.5962 2.63501 1 11 0.673166
44.8841 79.1707 0.22596 3.08318 79.2792 158.382 0 0 48.7406 2.01468 185.987 -1.41062 1 13 30.9124 0.933929 45.4025 -1.18466 -1 11 0.555001
41.1267 55.3772 0.76535 3.11111 58.0013 113.335 0 0 38.4911 0.527731 43.9766 -0.193489 -1 11 20.7764 1.70625 59.1069 0.571861 1 13 0.591301
