mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
19.0119 87.0799 0.543765 3.12103 82.7369 169.752 0 0 73.4303 0.694975 91.8887 1.96647 1 13 15.5168 0.864334 21.6829 2.51023 -1 11 0.419053
53.5878 77.0267 0.974327 2.42108 63.3928 130.785 0 0 53.6025 -0.721851 68.1848 -1.06229 -1 11 32.8702 -1.5646 82.0103 -0.0879645 1 13 1.15431
49.3438 60.052 0.991894 3.07882 125.054 173.232 0 0 42.4601 2.19026 192.119 1.90377 1 13 25.1746 1.07727 41.2507 2.89567 -1 11 0
38.3716 57.7483 1.20044 2.6967 137.782 174.005 0 0 43.1519 -2.02659 166.565 -1.24665 -1 11 25.8148 -1.81341 81.2441 -2.44709 1 13 0.875074
28.82 66.8303 0.824721 3.00077 41.1325 104.6 0 0 43.7958 0.477401 48.8822 -2.12923 1 13 28.8555 0.356009 30.7035 -1.30451 -1 11 1.1271
50.0425 92.8422 0.435911 2.62333 106.532 192.263 1 0 77.6389 0.555943 89.9492 -0.732661 -1 11 16.4835 -0.691835 20.5884 -0.29675 1 13 1.2168
15.7272 80.5889 0.307113 2.30945 54.3952 121.121 1 0 65.1572 -0.180349 66.2197 0.566759 1 11 16.036 0.195707 16.3444 0.259647 -1 13 1.19825
43.6391 48.1717 1.53739 2.37123 80.3701 115.326 1 0 44.3513 2.00674 167.946 1.63181 1 11 17.3778 1.28904 33.9287 0.0944205 -1 13 0.896053
35.7667 49.6856 1.16334 2.07713 88.41 114.219 1 0 33.2327 -2.1269 141.372 0.590757 -1 13 26.044 -1.61244 67.9025 1.7541 1 11 0.694583
50.5681 75.1513 0.675478 2.93859 103.168 175.198 0 0 44.781 -1.09955 74.6909 2.44986 1 11 34.7929 -2.14733 150.98 3.12534 -1 13 0.579528
34.5677 58.0951 0.648274 3.00121 62.7465 120.455 0 0 38.8545 -1.2286 72.0586 -0.156957 1 11 22.1753 -0.2747 23.0174 0.491317 -1 13 1.11053
43.4281 101.362 0.830018 2.38045 33.0515 107.479 0 0 70.4496 -0.76146 91.8799 -2.92778 -1 11 39.4705 -0.594425 46.6516 2.52538 1 13 1.20547
39.1068 71.0509 0.480505 1.85006 56.2559 100.983 1 0 51.7706 2.13129 221.174 -1.79413 1 11 20.9918 1.09208 34.8044 -1.31362 -1 13 0.67915
13.2814 122.112 0.278696 3.11892 96.2348 216.794 0 0 105.892 1.44615 237.314 3.09172 1 13 16.7803 1.59466 43.0383 2.81302 -1 11 1.06904
15.0117 58.9789 0.515033 2.49452 106.217 150.085 0 0 38.0133 0.619032 45.5322 1.49143 1 11 22.8458 0.621627 27.404 0.976393 -1 13 1.17622
52.4207 41.4257 1.1936 3.09009 127.651 145.39 0 0 33.3565 -2.39294 184.077 -2.87034 -1 11 15.1801 -0.601761 18.0128 2.21925 1 13 0.29833
32.7299 51.4562 1.256 1.84893 54.0205 84.1771 1 0 43.0721 -0.84196 59.2625 0.0135979 -1 13 17.8148 -0.71826 22.6111 -1.2424 1 11 1.22192
38.2025 60.8828 0.470689 1.777 102.88 122.85 1 0 33.224 0.0123288 33.2265 1.26859 1 11 29.3779 -1.06516 47.6799 1.73928 -1 13 1.1455
50.9291 76.1906 0.0430455 2.33508 100.736 161.162 0 0 43.9744 1.1311 75.2347 -2.96753 -1 11 32.2335 2.39693 178.579 -3.01057 1 13 1.19136
47.6446 43.6822 1.63212 2.09653 76.3174 100.067 0 0 37.542 -0.693926 46.9496 1.2564 -1 13 24.7513 -0.135235 24.978 2.88851 1 11 0.997039
35.9696 109.612 0.22591 2.97101 55.078 154.834 1 0 74.8757 -1.35369 154.618 2.9458 -1 11 35.3486 -0.703403 44.4601 2.71989 1 13 1.16033
12.6572 75.8833 0.179642 2.44876 37.4515 100.286 1 0 47.8194 1.89763 163.064 -1.76126 -1 11 28.3508 1.60549 73.4439 -1.9409 1 13 0.723493
21.9187 46.7386 0.937806 2.94861 77.0894 119.492 0 0 34.7615 0.801133 46.5263 2.97147 -1 11 16.8396 0.739655 21.6601 2.03366 1 13 0.553878
20.2102 84.8585 0.432307 2.93586 35.1422 108.64 1 0 51.4431 0.893936 73.4036 0.980679 -1 13 35.3654 0.693021 44.2034 0.548373 1 11 1.25031
43.3116 96.8441 0.854756 2.37916 99.8119 182.518 1 0 67.9897 1.02178 106.679 0.591054 -1 11 37.5169 0.802646 50.2649 1.44581 1 13 1.70306
49.3966 35.1466 1.37015 2.15194 65.8538 84.6779 1 0 27.9487 0.89396 39.8803 -0.492554 1 11 16.4567 -0.814877 22.2298 -1.8627 -1 13 0.570205
37.1194 43.9493 1.3174 2.39912 49.5235 86.9504 1 0 33.8988 -0.460175 37.552 0.266469 -1 13 20.7359 -1.1271 35.3617 -1.05093 1 11 1.60302
