mLL ptLL dPhi_LL dPhiLLmet MET mt goodjet_n goodbjet_n Lepton1_Pt Lepton1_Eta Lepton1_E Lepton1_Phi Lepton1_charge Lepton1_type Lepton2_Pt Lepton2_Eta Lepton2_E Lepton2_Phi Lepton2_charge Lepton2_type weight
48.0359 70.7842 0.7825 2.96572 153.643 207.766 1 0 40.6714 -0.711719 51.4147 -2.79718 -1 13 35.8734 0.250615 37.0059 -2.01468 1 11 1.05943
46.2546 79.182 0.528642 2.53653 33.5755 98.4394 1 0 64.1263 -1.11209 108.04 -0.847081 -1 11 16.9028 0.113819 17.0127 -0.318439 1 13 1.48265
37.7437 54.9447 1.16446 1.93332 38.2576 75.4654 1 0 35.6451 -0.0642409 35.7186 -2.80392 -1 11 30.0344 0.282065 31.2373 -1.63945 1 13 0.977002
25.5485 81.4896 0.73126 2.27775 115.044 175.864 1 0 66.3634 0.229663 68.1213 2.60302 1 11 18.9882 0.310967 19.914 -2.94891 -1 13 1.24168
53.094 55.6196 1.44591 3.03417 44.4885 99.3438 0 0 46.3997 -1.07146 75.6811 0.0129341 1 13 25.4294 -1.8505 82.9023 1.45884 -1 11 0
41.9168 72.6019 0.138049 2.3851 95.3005 154.602 0 0 47.5448 -1.95591 171.442 -0.276263 -1 11 25.214 -0.815921 34.083 -0.138213 1 13 0.723362
53.5479 56.7003 1.52336 2.4706 114.498 152.162 0 0 44.8942 -2.04898 177.082 -0.768358 -1 11 32.5694 -2.28478 161.631 0.755 1 13 1.50577
35.1584 61.4855 0.447736 1.71159 84.1252 108.612 1 0 37.6535 1.13567 64.6601 -0.371629 -1 13 25.3433 2.14077 109.275 0.076107 1 11 0
38.7294 55.1218 1.22253 1.7764 102.162 116.457 1 0 36.9529 -1.91641 128.294 -2.75586 -1 13 30.1902 -2.08066 122.792 -1.53332 1 11 0.867711
48.4874 106.977 0.51267 2.73273 94.0338 196.417 1 0 65.6573 -0.968815 98.9573 2.91522 -1 13 44.7982 -1.68945 125.46 2.40255 1 11 0.179068
17.4017 63.6132 0.216542 1.78542 67.0063 101.689 0 0 38.9973 1.56254 97.1139 -1.54677 -1 11 24.9724 1.05404 40.1775 -1.76331 1 13 1.15794
